Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Audi,2018,Petrol,Automatic,1800cc,"24,000 km",14000000,https://www.pakwheels.com/used-cars/audi-a6-2018-for-sale-in-lahore-5278587,Audi A6 2018 for sale in Lahore
Audi,2019,Petrol,Automatic,1400cc,"12,000 km",13900000,https://www.pakwheels.com/used-cars/audi-a5-2019-for-sale-in-islamabad-5341647,Audi A5 2019 for sale in Islamabad
Audi,2017,Petrol,Automatic,1400cc,"72,000 km",8200000,https://www.pakwheels.com/used-cars/audi-a4-2017-for-sale-in-lahore-5341036,Audi A4 2017 for sale in Lahore
Audi,2016,Petrol,Automatic,1400cc,"22,000 km",6800000,https://www.pakwheels.com/used-cars/audi-a3-2016-for-sale-in-gujranwala-4986071,Audi A3 2016 for sale in Gujranwala
Audi,2020,Hybrid,Automatic,230cc,"2,900 km",14500000,https://www.pakwheels.com/used-cars/audi-e-tron-2020-for-sale-in-karachi-5340354,Audi e-tron 2020 for sale in Karachi
Audi,2017,Petrol,Automatic,1400cc,"42,000 km",8700000,https://www.pakwheels.com/used-cars/audi-a4-2017-for-sale-in-karachi-4812946,Audi A4 2017 for sale in Karachi
Audi,2021,Electric,Automatic,5000cc,"1,500 km",19500000,https://www.pakwheels.com/used-cars/audi-e-tron-2021-for-sale-in-lahore-5312492,Audi e-tron 2021 for sale in Lahore
Audi,2018,Petrol,Automatic,1400cc,"14,000 km",12000000,https://www.pakwheels.com/used-cars/audi-a5-2018-for-sale-in-lahore-5253695,Audi A5 2018 for sale in Lahore
Audi,2019,Petrol,Automatic,1400cc,"16,000 km",13000000,https://www.pakwheels.com/used-cars/audi-a5-2019-for-sale-in-lahore-5316970,Audi A5 2019 for sale in Lahore
Audi,2017,Petrol,Automatic,1200cc,"65,000 km",5600000,https://www.pakwheels.com/used-cars/audi-a3-2017-for-sale-in-lahore-5342583,Audi A3 2017 for sale in Lahore
