Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
BMW,2008,Petrol,Automatic,3000cc,"72,000 km",8750000,https://www.pakwheels.com/used-cars/bmw-x5-series-2008-for-sale-in-lahore-5341426,BMW X5 Series 2008 for sale in Lahore
BMW,2010,Diesel,Automatic,740cc,"96,000 km",12500000,https://www.pakwheels.com/used-cars/bmw-7-series-2010-for-sale-in-lahore-5340495,BMW 7 Series 2010 for sale in Lahore
BMW,2002,Petrol,Automatic,4400cc,"118,532 km",3250000,https://www.pakwheels.com/used-cars/bmw-7-series-2002-for-sale-in-sialkot-5211755,BMW 7 Series 2002 for sale in Sialkot
BMW,2017,Petrol,Automatic,1500cc,"41,000 km",5815000,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-lahore-5329584,BMW X1 2017 for sale in Lahore
BMW,2007,Petrol,Automatic,4000cc,"148,000 km",4300000,https://www.pakwheels.com/used-cars/bmw-7-series-2007-for-sale-in-islamabad-5243211,BMW 7 Series 2007 for sale in Islamabad
BMW,2017,Petrol,Automatic,1500cc,"43,000 km",5825000,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-lahore-4301475,BMW X1 2017 for sale in Lahore
BMW,2003,Petrol,Automatic,4400cc,"100,000 km",3500000,https://www.pakwheels.com/used-cars/bmw-7-series-2003-for-sale-in-rawalpindi-4650168,BMW 7 Series 2003 for sale in Rawalpindi
BMW,2018,Petrol,Automatic,1500cc,"95,543 km",5950000,https://www.pakwheels.com/used-cars/bmw-x1-2018-for-sale-in-islamabad-5157801,BMW X1 2018 for sale in Islamabad
BMW,2017,Petrol,Automatic,1500cc,"63,024 km",6950000,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-islamabad-5027740,BMW X1 2017 for sale in Islamabad
BMW,2017,Petrol,Automatic,1500cc,"53,000 km",6100000,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-lahore-5272747,BMW X1 2017 for sale in Lahore
BMW,2007,Petrol,Automatic,4000cc,"80,000 km",5000000,https://www.pakwheels.com/used-cars/bmw-7-series-2007-for-sale-in-islamabad-4230376,BMW 7 Series 2007 for sale in Islamabad
BMW,2006,Petrol,Automatic,3000cc,"90,000 km",4250000,https://www.pakwheels.com/used-cars/bmw-7-series-2006-for-sale-in-karachi-3667787,BMW 7 Series 2006 for sale in Karachi
BMW,2018,Petrol,Automatic,1600cc,"27,090 km",14900000,https://www.pakwheels.com/used-cars/bmw-3-series-2018-for-sale-in-multan-4662451,BMW 3 Series 2018 for sale in Multan
BMW,2003,Petrol,Automatic,2800cc,"100,000 km",2500000,https://www.pakwheels.com/used-cars/bmw-x5-series-2003-for-sale-in-karachi-5342159,BMW X5 Series 2003 for sale in Karachi
BMW,2013,Diesel,Automatic,2000cc,"68,000 km",16000000,https://www.pakwheels.com/used-cars/bmw-5-series-2013-for-sale-in-lahore-5039752,BMW 5 Series 2013 for sale in Lahore
BMW,2003,Petrol,Automatic,2000cc,"151,214 km",1655000,https://www.pakwheels.com/used-cars/bmw-3-series-2003-for-sale-in-lahore-5342012,BMW 3 Series 2003 for sale in Lahore
BMW,2017,Petrol,Automatic,1500cc,"53,189 km",6000000,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-lahore-5340509,BMW X1 2017 for sale in Lahore
BMW,1998,Petrol,Automatic,2800cc,"143,471 km",1695000,https://www.pakwheels.com/used-cars/bmw-3-series-1998-for-sale-in-islamabad-5340186,BMW 3 Series 1998 for sale in Islamabad
BMW,2004,Diesel,Automatic,3000cc,"90,000 km",2200000,https://www.pakwheels.com/used-cars/bmw-7-series-2004-for-sale-in-faisalabad-5315160,BMW 7 Series 2004 for sale in Faisalabad
BMW,2013,Petrol,Automatic,3000cc,"85,000 km",24500000,https://www.pakwheels.com/used-cars/bmw-z4-2013-for-sale-in-islamabad-5340179,BMW Z4 2013 for sale in Islamabad
BMW,2018,Petrol,Automatic,2000cc,"70,000 km",6500000,https://www.pakwheels.com/used-cars/bmw-x1-2018-for-sale-in-lahore-5340147,BMW X1 2018 for sale in Lahore
BMW,2019,Hybrid,Automatic,2000cc,"6,700 km",23000000,https://www.pakwheels.com/used-cars/bmw-5-series-2019-for-sale-in-islamabad-4999174,BMW 5 Series 2019 for sale in Islamabad
BMW,2007,Diesel,Automatic,3000cc,"78,000 km",4500000,https://www.pakwheels.com/used-cars/bmw-7-series-2007-for-sale-in-islamabad-5107587,BMW 7 Series 2007 for sale in Islamabad
BMW,2018,Hybrid,Automatic,1500cc,"15,000 km",33000000,https://www.pakwheels.com/used-cars/bmw-i8-2018-for-sale-in-lahore-5339065,BMW i8 2018 for sale in Lahore
BMW,2005,Petrol,Automatic,3000cc,"92,000 km",3250000,https://www.pakwheels.com/used-cars/bmw-5-series-2005-for-sale-in-rawalpindi-5338958,BMW 5 Series 2005 for sale in Rawalpindi
BMW,2004,Petrol,Automatic,2800cc,"85,000 km",3500000,https://www.pakwheels.com/used-cars/bmw-x5-series-2004-for-sale-in-sheikhupura-5334121,BMW X5 Series 2004 for sale in Sheikhupura
BMW,2007,Diesel,Automatic,2500cc,"140,000 km",3500000,https://www.pakwheels.com/used-cars/bmw-5-series-2007-for-sale-in-islamabad-5333697,BMW 5 Series 2007 for sale in Islamabad
BMW,2017,Petrol,Automatic,1500cc,"77,000 km",6500000,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-islamabad-5337078,BMW X1 2017 for sale in Islamabad
