Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Changan,2021,Petrol,Automatic,1500cc,50 km,2825000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-4755925,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,5 km,2640000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-5340765,Changan Alsvin 2021 for sale in Karachi
Changan,2021,Petrol,Automatic,1500cc,"2,200 km",2790000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5311706,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,50 km,2760000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5195836,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,"4,700 km",2720000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5328713,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,1 km,2760000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-sialkot-5292623,Changan Alsvin 2021 for sale in Sialkot
Changan,2021,Petrol,Automatic,1500cc,1 km,2760000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5266810,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Manual,1000cc,1 km,1725000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-sialkot-5307967,Changan Karvaan 2021 for sale in Sialkot
Changan,2021,Petrol,Manual,1000cc,1 km,1725000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-lahore-5268135,Changan Karvaan 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,"2,200 km",2600000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5342160,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,250 km,2925000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-rawalpindi-5341992,Changan Alsvin 2021 for sale in Rawalpindi
Changan,2021,Petrol,Automatic,1500cc,"4,000 km",2780000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-rawalpindi-5341274,Changan Alsvin 2021 for sale in Rawalpindi
Changan,2021,Petrol,Manual,1000cc,1 km,1700000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-karachi-5341076,Changan Karvaan 2021 for sale in Karachi
Changan,2021,Petrol,Manual,1000cc,1 km,1685000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-karachi-5341062,Changan Karvaan 2021 for sale in Karachi
Changan,2021,Petrol,Manual,1000cc,5 km,1299000,https://www.pakwheels.com/used-cars/changan-m9-2021-for-sale-in-karachi-5340921,Changan M9 2021 for sale in Karachi
Changan,2021,Petrol,Manual,1000cc,5 km,1299000,https://www.pakwheels.com/used-cars/changan-m9-2021-for-sale-in-karachi-5340960,Changan M9 2021 for sale in Karachi
Changan,2021,Petrol,Manual,1300cc,24 km,2350000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-5340217,Changan Alsvin 2021 for sale in Karachi
Changan,2021,Petrol,Automatic,1500cc,150 km,2800000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-5335458,Changan Alsvin 2021 for sale in Karachi
Changan,2021,Petrol,Automatic,1500cc,10 km,2800000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-islamabad-5256418,Changan Alsvin 2021 for sale in Islamabad
Changan,2021,Petrol,Manual,1000cc,"4,500 km",1750000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-rawalpindi-5338863,Changan Karvaan 2021 for sale in Rawalpindi
Changan,2021,Petrol,Automatic,1500cc,1 km,2710000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-5237503,Changan Alsvin 2021 for sale in Karachi
Changan,2021,Petrol,Manual,1000cc,"7,000 km",1900000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-jahaniya-5338554,Changan Karvaan 2021 for sale in Jahaniya
Changan,2021,Petrol,Automatic,1500cc,"13,000 km",2750000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-phalia-5137232,Changan Alsvin 2021 for sale in Phalia
Changan,2019,Petrol,Manual,1000cc,"70,000 km",1580000,https://www.pakwheels.com/used-cars/changan-karvaan-2019-for-sale-in-domeli-5338064,Changan Karvaan 2019 for sale in Domeli
Changan,2021,Petrol,Automatic,1500cc,1 km,2800000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-sialkot-5337987,Changan Alsvin 2021 for sale in Sialkot
Changan,2021,Petrol,Manual,1000cc,18 km,1750000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-bahawalpur-5337725,Changan Karvaan 2021 for sale in Bahawalpur
Changan,2021,Petrol,Automatic,1500cc,185 km,2749000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-multan-5337653,Changan Alsvin 2021 for sale in Multan
Changan,2019,Petrol,Manual,1000cc,"19,000 km",1550000,https://www.pakwheels.com/used-cars/changan-karvaan-2019-for-sale-in-rawalpindi-5337520,Changan Karvaan 2019 for sale in Rawalpindi
Changan,2021,Petrol,Manual,1000cc,"22,000 km",1650000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-sargodha-5335651,Changan Karvaan 2021 for sale in Sargodha
Changan,2019,Petrol,Manual,1000cc,"21,000 km",1750000,https://www.pakwheels.com/used-cars/changan-karvaan-2019-for-sale-in-rawalpindi-5336946,Changan Karvaan 2019 for sale in Rawalpindi
Changan,2021,Petrol,Manual,1300cc,"1,200 km",2350000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-islamabad-5336891,Changan Alsvin 2021 for sale in Islamabad
Changan,2021,Petrol,Manual,1000cc,900 km,1680000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-lahore-5323420,Changan Karvaan 2021 for sale in Lahore
Changan,2021,Petrol,Manual,1000cc,1 km,1539000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-karachi-5324451,Changan Karvaan 2021 for sale in Karachi
Changan,2021,Petrol,Manual,1300cc,80 km,2350000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-5322099,Changan Alsvin 2021 for sale in Karachi
Changan,2021,Petrol,Automatic,1500cc,40 km,2800000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-5322054,Changan Alsvin 2021 for sale in Karachi
Changan,2021,Petrol,Automatic,1500cc,20 km,2750000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-4945984,Changan Alsvin 2021 for sale in Karachi
Changan,2021,Petrol,Automatic,1500cc,25 km,2785000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-multan-5225714,Changan Alsvin 2021 for sale in Multan
Changan,2021,Petrol,Automatic,1500cc,54 km,2815000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-rawalpindi-5217583,Changan Alsvin 2021 for sale in Rawalpindi
Changan,2021,Petrol,Automatic,1500cc,"2,100 km",2800000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-islamabad-5155563,Changan Alsvin 2021 for sale in Islamabad
Changan,2021,Petrol,Automatic,1500cc,"1,800 km",2800000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-quetta-5305530,Changan Alsvin 2021 for sale in Quetta
Changan,2021,Petrol,Automatic,1500cc,25 km,2750000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5304939,Changan Alsvin 2021 for sale in Lahore
Changan,2019,Petrol,Manual,1000cc,"46,000 km",1360000,https://www.pakwheels.com/used-cars/changan-karvaan-2019-for-sale-in-karachi-5169537,Changan Karvaan 2019 for sale in Karachi
Changan,2020,Petrol,Manual,1000cc,"13,009 km",1565000,https://www.pakwheels.com/used-cars/changan-karvaan-2020-for-sale-in-hyderabad-5335554,Changan Karvaan 2020 for sale in Hyderabad
Changan,2021,Petrol,Automatic,1500cc,"2,700 km",2750000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-thatta-5335493,Changan Alsvin 2021 for sale in Thatta
Changan,2020,Petrol,Manual,1000cc,"80,000 km",1550000,https://www.pakwheels.com/used-cars/changan-karvaan-2020-for-sale-in-matli-5335404,Changan Karvaan 2020 for sale in Matli
Changan,2021,Petrol,Manual,1000cc,800 km,1700000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-lahore-5334957,Changan Karvaan 2021 for sale in Lahore
Changan,2020,Petrol,Manual,1000cc,98 km,1095000,https://www.pakwheels.com/used-cars/changan-m9-2020-for-sale-in-rawalpindi-4719785,Changan M9 2020 for sale in Rawalpindi
Changan,2021,Petrol,Manual,1000cc,"4,800 km",1680000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-karachi-5334813,Changan Karvaan 2021 for sale in Karachi
Changan,2021,Petrol,Automatic,1500cc,50 km,2750000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5253848,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,1 km,815000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-islamabad-5333720,Changan Karvaan 2021 for sale in Islamabad
Changan,2021,Petrol,Manual,1000cc,"1,500 km",1740000,https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-mirpur-ak-5332795,Changan Karvaan 2021 for sale in Mirpur A.K.
Changan,2021,Petrol,Automatic,1500cc,"1,500 km",2900000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5332535,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,1 km,850000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-hyderabad-5332343,Changan Alsvin 2021 for sale in Hyderabad
Changan,2020,Petrol,Manual,1000cc,"6,000 km",1595000,https://www.pakwheels.com/used-cars/changan-karvaan-2020-for-sale-in-islamabad-5332319,Changan Karvaan 2020 for sale in Islamabad
Changan,2021,Petrol,Manual,1400cc,10 km,2340000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5332255,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Manual,1000cc,1 km,1375000,https://www.pakwheels.com/used-cars/changan-m9-2021-for-sale-in-lahore-5331938,Changan M9 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,1 km,2830000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-rawalpindi-5329870,Changan Alsvin 2021 for sale in Rawalpindi
Changan,2020,Petrol,Manual,1000cc,"11,000 km",1600000,https://www.pakwheels.com/used-cars/changan-karvaan-2020-for-sale-in-sialkot-5331685,Changan Karvaan 2020 for sale in Sialkot
Changan,2021,Petrol,Automatic,1500cc,100 km,2500000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-5188600,Changan Alsvin 2021 for sale in Lahore
Changan,2021,Petrol,Automatic,1500cc,48 km,2710000,https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-karachi-5331533,Changan Alsvin 2021 for sale in Karachi
