Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Chevrolet,2006,Petrol,Manual,1000cc,"186,000 km",575000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-islamabad-5267030,Chevrolet Joy 2006 for sale in Islamabad
Chevrolet,2007,Petrol,Manual,1000cc,"163,000 km",650000,https://www.pakwheels.com/used-cars/chevrolet-joy-2007-for-sale-in-lahore-5317275,Chevrolet Joy 2007 for sale in Lahore
Chevrolet,1981,Petrol,Automatic,5700cc,"110,000 km",9000000,https://www.pakwheels.com/used-cars/chevrolet-corvette-1981-for-sale-in-lahore-3495000,Chevrolet Corvette 1981 for sale in Lahore
Chevrolet,2005,Petrol,Automatic,1600cc,"128,109 km",1090000,https://www.pakwheels.com/used-cars/chevrolet-optra-2005-for-sale-in-karachi-5018535,Chevrolet Optra 2005 for sale in Karachi
Chevrolet,2006,Petrol,Automatic,1600cc,"130,000 km",1100000,https://www.pakwheels.com/used-cars/chevrolet-optra-2006-for-sale-in-rawalpindi-5276884,Chevrolet Optra 2006 for sale in Rawalpindi
Chevrolet,2005,Petrol,Automatic,1600cc,"124,297 km",1275000,https://www.pakwheels.com/used-cars/chevrolet-optra-2005-for-sale-in-islamabad-4945507,Chevrolet Optra 2005 for sale in Islamabad
Chevrolet,2006,Petrol,Manual,1000cc,"90,000 km",620000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-gujranwala-5340994,Chevrolet Joy 2006 for sale in Gujranwala
Chevrolet,2004,Petrol,Manual,800cc,"1,000 km",445000,https://www.pakwheels.com/used-cars/chevrolet-joy-2004-for-sale-in-karachi-5340639,Chevrolet Joy 2004 for sale in Karachi
Chevrolet,2006,Petrol,Manual,1000cc,"90,000 km",615000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-lahore-5340026,Chevrolet Joy 2006 for sale in Lahore
Chevrolet,2010,Petrol,Manual,800cc,"85,000 km",6500000,https://www.pakwheels.com/used-cars/chevrolet-other-2010-for-sale-in-kotli-ak-5339243,Chevrolet Other 2010 for sale in Kotli Ak
Chevrolet,2006,Petrol,Manual,1000cc,"180,000 km",625000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-lahore-5338784,Chevrolet Joy 2006 for sale in Lahore
Chevrolet,2007,Petrol,Manual,1500cc,"210,000 km",1265000,https://www.pakwheels.com/used-cars/chevrolet-aveo-2007-for-sale-in-ahmed-pur-east-5338760,Chevrolet Aveo 2007 for sale in Ahmed Pur East
Chevrolet,2006,Petrol,Manual,1000cc,"150,000 km",540000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-jhelum-5337499,Chevrolet Joy 2006 for sale in Jhelum
Chevrolet,2006,Petrol,Automatic,660cc,"100,000 km",500000,https://www.pakwheels.com/used-cars/chevrolet-other-2006-for-sale-in-peshawar-5336907,Chevrolet Other 2006 for sale in Peshawar
Chevrolet,2006,Petrol,Automatic,1600cc,"63,000 km",1600000,https://www.pakwheels.com/used-cars/chevrolet-optra-2006-for-sale-in-lahore-5335869,Chevrolet Optra 2006 for sale in Lahore
Chevrolet,2004,Petrol,Manual,800cc,"113,500 km",650000,https://www.pakwheels.com/used-cars/chevrolet-exclusive-2004-for-sale-in-islamabad-5336058,Chevrolet Exclusive 2004 for sale in Islamabad
Chevrolet,2007,Petrol,Manual,800cc,"200,000 km",370000,https://www.pakwheels.com/used-cars/chevrolet-joy-2007-for-sale-in-lahore-5331886,Chevrolet Joy 2007 for sale in Lahore
Chevrolet,2005,Petrol,Automatic,1600cc,"120,000 km",1050000,https://www.pakwheels.com/used-cars/chevrolet-optra-2005-for-sale-in-karachi-5331416,Chevrolet Optra 2005 for sale in Karachi
Chevrolet,2006,Petrol,Manual,1000cc,"150,000 km",680000,https://www.pakwheels.com/used-cars/chevrolet-matiz-2006-for-sale-in-rawalpindi-5328980,Chevrolet Matiz 2006 for sale in Rawalpindi
Chevrolet,2010,Petrol,Automatic,1800cc,"99,000 km",2435000,https://www.pakwheels.com/used-cars/chevrolet-cruze-2010-for-sale-in-abbottabad-5331188,Chevrolet Cruze 2010 for sale in Abbottabad
Chevrolet,2005,Petrol,Manual,1600cc,"99,000 km",1025000,https://www.pakwheels.com/used-cars/chevrolet-optra-2005-for-sale-in-sheikhupura-5330442,Chevrolet Optra 2005 for sale in Sheikhupura
Chevrolet,2006,Petrol,Manual,1000cc,"200,000 km",711000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-lahore-5329642,Chevrolet Joy 2006 for sale in Lahore
Chevrolet,2007,Petrol,Manual,1000cc,"106,000 km",675000,https://www.pakwheels.com/used-cars/chevrolet-joy-2007-for-sale-in-lahore-5081903,Chevrolet Joy 2007 for sale in Lahore
Chevrolet,2004,Petrol,Manual,800cc,"237,000 km",580000,https://www.pakwheels.com/used-cars/chevrolet-exclusive-2004-for-sale-in-lahore-5329099,Chevrolet Exclusive 2004 for sale in Lahore
Chevrolet,2010,Petrol,Manual,1000cc,"65,000 km",1085000,https://www.pakwheels.com/used-cars/chevrolet-matiz-2010-for-sale-in-kasur-5328521,Chevrolet Matiz 2010 for sale in Kasur
Chevrolet,2005,Petrol,Automatic,1600cc,"200,000 km",950000,https://www.pakwheels.com/used-cars/chevrolet-optra-2005-for-sale-in-islamabad-5328510,Chevrolet Optra 2005 for sale in Islamabad
Chevrolet,2007,Petrol,Manual,1000cc,"148,000 km",630000,https://www.pakwheels.com/used-cars/chevrolet-joy-2007-for-sale-in-murree-5327998,Chevrolet Joy 2007 for sale in Murree
Chevrolet,2006,Petrol,Manual,1000cc,"75,000 km",550000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-lahore-5327776,Chevrolet Joy 2006 for sale in Lahore
Chevrolet,2006,Petrol,Manual,1000cc,"100,000 km",585000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-bahawalpur-4612253,Chevrolet Joy 2006 for sale in Bahawalpur
Chevrolet,2006,Petrol,Manual,1000cc,"170,000 km",655000,https://www.pakwheels.com/used-cars/chevrolet-exclusive-2006-for-sale-in-lahore-5300593,Chevrolet Exclusive 2006 for sale in Lahore
Chevrolet,2008,Petrol,Manual,800cc,"99,460 km",950000,https://www.pakwheels.com/used-cars/chevrolet-matiz-2008-for-sale-in-rawalpindi-5324070,Chevrolet Matiz 2008 for sale in Rawalpindi
Chevrolet,2007,Petrol,Manual,1000cc,123 km,480000,https://www.pakwheels.com/used-cars/chevrolet-exclusive-2007-for-sale-in-lahore-5323223,Chevrolet Exclusive 2007 for sale in Lahore
Chevrolet,2004,Petrol,Automatic,800cc,"208,422 km",650000,https://www.pakwheels.com/used-cars/chevrolet-matiz-2004-for-sale-in-lahore-5322763,Chevrolet Matiz 2004 for sale in Lahore
Chevrolet,2009,Petrol,Automatic,1500cc,"102,800 km",1380000,https://www.pakwheels.com/used-cars/chevrolet-aveo-2009-for-sale-in-peshawar-5020896,Chevrolet Aveo 2009 for sale in Peshawar
Chevrolet,2005,Petrol,Manual,1600cc,"54,000 km",980000,https://www.pakwheels.com/used-cars/chevrolet-optra-2005-for-sale-in-rawalpindi-5321574,Chevrolet Optra 2005 for sale in Rawalpindi
Chevrolet,2006,Petrol,Manual,1000cc,"1,000 km",525000,https://www.pakwheels.com/used-cars/chevrolet-joy-2006-for-sale-in-jhelum-5321480,Chevrolet Joy 2006 for sale in Jhelum
