Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
DFSK,2021,Petrol,Automatic,1500cc,1 km,4850000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-sahiwal-5291479,DFSK Glory 580 2021 for sale in Sahiwal
DFSK,2021,Petrol,Automatic,1500cc,"2,000 km",4850000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5324844,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,"11,001 km",4995000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-islamabad-5294264,DFSK Glory 580 2021 for sale in Islamabad
DFSK,2021,Petrol,Automatic,1500cc,1 km,4610000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-islamabad-5339497,DFSK Glory 580 2021 for sale in Islamabad
DFSK,2021,Petrol,Automatic,1500cc,100 km,4610000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-gujranwala-5338383,DFSK Glory 580 2021 for sale in Gujranwala
DFSK,2021,Petrol,Automatic,1500cc,1 km,4610000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-gujranwala-5187653,DFSK Glory 580 2021 for sale in Gujranwala
DFSK,2021,Petrol,Automatic,1500cc,15 km,4990000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-islamabad-5324370,DFSK Glory 580 2021 for sale in Islamabad
DFSK,2021,Petrol,Automatic,1500cc,1 km,5100000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-faisalabad-5135229,DFSK Glory 580 2021 for sale in Faisalabad
DFSK,2021,Petrol,Automatic,1500cc,"9,500 km",4850000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5307094,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,"4,891 km",5000000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5324630,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,45 km,5000000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-islamabad-5320332,DFSK Glory 580 2021 for sale in Islamabad
DFSK,2021,Petrol,Automatic,1500cc,150 km,5150000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5342564,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,57 km,4985000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-karachi-5342513,DFSK Glory 580 2021 for sale in Karachi
DFSK,2021,Petrol,Automatic,1500cc,"20,000 km",4300000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-faisalabad-5342331,DFSK Glory 580 2021 for sale in Faisalabad
DFSK,2021,Petrol,Automatic,1500cc,"3,500 km",5150000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-rawalpindi-5341598,DFSK Glory 580 2021 for sale in Rawalpindi
DFSK,2021,Petrol,Automatic,1500cc,"3,800 km",4900000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-islamabad-5341541,DFSK Glory 580 2021 for sale in Islamabad
DFSK,2021,Petrol,Automatic,1500cc,"4,000 km",4850000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5341066,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,280 km,4900000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-faisalabad-5340555,DFSK Glory 580 2021 for sale in Faisalabad
DFSK,2021,Petrol,Automatic,1500cc,20 km,5100000,https://www.pakwheels.com/used-cars/dfsk-glory-500-2021-for-sale-in-islamabad-5337868,DFSK Glory 500 2021 for sale in Islamabad
DFSK,2021,Petrol,Automatic,1500cc,500 km,4950000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-badin-5340295,DFSK Glory 580 2021 for sale in Badin
DFSK,2021,Petrol,Automatic,1500cc,1 km,4900000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-gujranwala-5340251,DFSK Glory 580 2021 for sale in Gujranwala
DFSK,2021,Petrol,Automatic,1500cc,"2,044 km",4950000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5339878,DFSK Glory 580 2021 for sale in Lahore
DFSK,2020,Petrol,Automatic,1500cc,"40,000 km",3975000,https://www.pakwheels.com/used-cars/dfsk-glory-500-2020-for-sale-in-karachi-5338927,DFSK Glory 500 2020 for sale in Karachi
DFSK,2021,Petrol,Automatic,1500cc,1 km,4610000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5339533,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,"1,000 km",5050000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5339321,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,"9,700 km",4849000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-bahawalpur-5339163,DFSK Glory 580 2021 for sale in Bahawalpur
DFSK,2020,Petrol,Automatic,1500cc,"40,000 km",3975000,https://www.pakwheels.com/used-cars/dfsk-convoy-2020-for-sale-in-karachi-5338945,DFSK Convoy 2020 for sale in Karachi
DFSK,2021,Petrol,Automatic,1500cc,5 km,4950000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-gujranwala-5338596,DFSK Glory 580 2021 for sale in Gujranwala
DFSK,2021,Petrol,Automatic,1500cc,"7,000 km",5050000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-islamabad-5338472,DFSK Glory 580 2021 for sale in Islamabad
DFSK,2021,Petrol,Automatic,1500cc,10 km,5050000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-karachi-5338154,DFSK Glory 580 2021 for sale in Karachi
DFSK,2021,Petrol,Automatic,1500cc,"4,500 km",4900000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5337995,DFSK Glory 580 2021 for sale in Lahore
DFSK,2021,Petrol,Automatic,1500cc,100 km,4950000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-sahiwal-5316768,DFSK Glory 580 2021 for sale in Sahiwal
DFSK,2021,Petrol,Automatic,1500cc,1 km,5000000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-5302464,DFSK Glory 580 2021 for sale in Lahore
