Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Daewoo,1997,Petrol,Manual,1500cc,"197,000 km",450000,https://www.pakwheels.com/used-cars/daewoo-racer-1997-for-sale-in-islamabad-5340386,Daewoo Racer 1997 for sale in Islamabad
Daewoo,1993,Petrol,Manual,1300cc,"258,580 km",340000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-lahore-5339338,Daewoo Racer 1993 for sale in Lahore
Daewoo,1993,CNG,Manual,1500cc,"258,470 km",335000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-rawalpindi-5337183,Daewoo Racer 1993 for sale in Rawalpindi
Daewoo,1994,CNG,Manual,1500cc,"65,000 km",300000,https://www.pakwheels.com/used-cars/daewoo-racer-1994-for-sale-in-hassan-abdal-5334812,Daewoo Racer 1994 for sale in Hassan abdal
Daewoo,1993,Petrol,Manual,1500cc,"200,000 km",485000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-islamabad-5334445,Daewoo Racer 1993 for sale in Islamabad
Daewoo,1992,Petrol,Manual,1500cc,"200,000 km",320000,https://www.pakwheels.com/used-cars/daewoo-racer-1992-for-sale-in-rawalpindi-4329483,Daewoo Racer 1992 for sale in Rawalpindi
Daewoo,1993,CNG,Manual,1500cc,"350,000 km",350000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-islamabad-5333923,Daewoo Racer 1993 for sale in Islamabad
Daewoo,1993,Petrol,Manual,1500cc,"350,000 km",300000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-islamabad-5333384,Daewoo Racer 1993 for sale in Islamabad
Daewoo,1996,Petrol,Manual,1500cc,"245,009 km",425000,https://www.pakwheels.com/used-cars/daewoo-racer-1996-for-sale-in-haripur-5331657,Daewoo Racer 1996 for sale in Haripur
Daewoo,1993,Petrol,Manual,1500cc,"200,000 km",445000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-islamabad-5330864,Daewoo Racer 1993 for sale in Islamabad
Daewoo,1994,Petrol,Manual,1500cc,"100,000 km",450000,https://www.pakwheels.com/used-cars/daewoo-racer-1994-for-sale-in-islamabad-5330208,Daewoo Racer 1994 for sale in Islamabad
Daewoo,1996,Petrol,Manual,1500cc,"200,000 km",500000,https://www.pakwheels.com/used-cars/daewoo-racer-1996-for-sale-in-islamabad-5326463,Daewoo Racer 1996 for sale in Islamabad
Daewoo,1990,Petrol,Manual,1500cc,"22,351 km",380000,https://www.pakwheels.com/used-cars/daewoo-other-1990-for-sale-in-rawalpindi-5328194,Daewoo Other 1990 for sale in Rawalpindi
Daewoo,1993,Petrol,Manual,1500cc,"65,300 km",350000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-lahore-4960740,Daewoo Racer 1993 for sale in Lahore
Daewoo,1992,Hybrid,Manual,1500cc,"186,589 km",315000,https://www.pakwheels.com/used-cars/daewoo-racer-1992-for-sale-in-islamabad-5323633,Daewoo Racer 1992 for sale in Islamabad
Daewoo,2000,CNG,Manual,1500cc,"82,533 km",380000,https://www.pakwheels.com/used-cars/daewoo-racer-2000-for-sale-in-daska-4925231,Daewoo Racer 2000 for sale in Daska
Daewoo,1993,Petrol,Manual,1500cc,"200,000 km",450000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-rawalpindi-5319743,Daewoo Racer 1993 for sale in Rawalpindi
Daewoo,1996,Petrol,Manual,1500cc,"161,000 km",280000,https://www.pakwheels.com/used-cars/daewoo-racer-1996-for-sale-in-wah-cantt-5317409,Daewoo Racer 1996 for sale in Wah cantt
Daewoo,1993,CNG,Manual,1500cc,"200,000 km",280000,https://www.pakwheels.com/used-cars/daewoo-cielo-1993-for-sale-in-lahore-5316236,Daewoo Cielo 1993 for sale in Lahore
Daewoo,1997,Petrol,Manual,1800cc,"100,000 km",400000,https://www.pakwheels.com/used-cars/daewoo-racer-1997-for-sale-in-kahuta-5313517,Daewoo Racer 1997 for sale in Kahuta
Daewoo,1993,Petrol,Manual,1600cc,18 km,350000,https://www.pakwheels.com/used-cars/daewoo-cielo-1993-for-sale-in-islamabad-5311602,Daewoo Cielo 1993 for sale in Islamabad
Daewoo,1992,CNG,Manual,1500cc,"137,000 km",400000,https://www.pakwheels.com/used-cars/daewoo-cielo-1992-for-sale-in-lahore-5311204,Daewoo Cielo 1992 for sale in Lahore
Daewoo,1993,Petrol,Manual,1500cc,"150,000 km",450000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-islamabad-5307638,Daewoo Racer 1993 for sale in Islamabad
Daewoo,1993,Petrol,Manual,1500cc,"100,000 km",265000,https://www.pakwheels.com/used-cars/daewoo-racer-1993-for-sale-in-karachi-5306289,Daewoo Racer 1993 for sale in Karachi
