Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Daihatsu,2011,Petrol,Manual,800cc,"69,800 km",850000,https://www.pakwheels.com/used-cars/daihatsu-cuore-2011-for-sale-in-chakwal-5247093,Daihatsu Cuore 2011 for sale in Chakwal
Daihatsu,2012,Petrol,Automatic,660cc,"56,000 km",1450000,https://www.pakwheels.com/used-cars/daihatsu-mira-2012-for-sale-in-karachi-5247646,Daihatsu Mira 2012 for sale in Karachi
Daihatsu,2016,Petrol,Automatic,660cc,"70,000 km",1490000,https://www.pakwheels.com/used-cars/daihatsu-move-2016-for-sale-in-lahore-5247445,Daihatsu Move 2016 for sale in Lahore
Daihatsu,2008,Petrol,Manual,800cc,"185,000 km",700000,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-karachi-5247418,Daihatsu Cuore 2008 for sale in Karachi
Daihatsu,2018,Petrol,Automatic,660cc,"7,500 km",2350000,https://www.pakwheels.com/used-cars/daihatsu-move-2018-for-sale-in-mandi-bahauddin-5247352,Daihatsu Move 2018 for sale in Mandi bahauddin
Daihatsu,2004,Petrol,Manual,800cc,"24,000 km",470000,https://www.pakwheels.com/used-cars/daihatsu-cuore-2004-for-sale-in-karachi-5247342,Daihatsu Cuore 2004 for sale in Karachi
Daihatsu,2015,Petrol,Manual,660cc,"65,000 km",985000,https://www.pakwheels.com/used-cars/daihatsu-hijet-2015-for-sale-in-lahore-5247158,Daihatsu Hijet 2015 for sale in Lahore
Daihatsu,2012,Petrol,Automatic,660cc,"76,000 km",1090000,https://www.pakwheels.com/used-cars/daihatsu-hijet-2012-for-sale-in-karachi-5247103,Daihatsu Hijet 2012 for sale in Karachi
Daihatsu,2014,Petrol,Automatic,660cc,"130,000 km",1400000,https://www.pakwheels.com/used-cars/daihatsu-hijet-2014-for-sale-in-karachi-4536430,Daihatsu Hijet 2014 for sale in Karachi
Daihatsu,2018,Petrol,Automatic,660cc,"25,032 km",2080000,https://www.pakwheels.com/used-cars/daihatsu-mira-2018-for-sale-in-karachi-5247008,Daihatsu Mira 2018 for sale in Karachi
Daihatsu,2008,Petrol,Manual,800cc,"150,000 km",675990,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-lahore-5166533,Daihatsu Cuore 2008 for sale in Lahore
