Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
FAW,2015,Petrol,Manual,1300cc,"170,000 km",1200000,https://www.pakwheels.com/used-cars/faw-v2-2015-for-sale-in-lahore-5332779,FAW V2 2015 for sale in Lahore
FAW,2017,Petrol,Manual,1300cc,"53,000 km",1199000,https://www.pakwheels.com/used-cars/faw-v2-2017-for-sale-in-lahore-5328676,FAW V2 2017 for sale in Lahore
FAW,2016,Petrol,Manual,1000cc,"115,000 km",750000,https://www.pakwheels.com/used-cars/faw-x-pv-2016-for-sale-in-chakwal-5324969,FAW X-PV 2016 for sale in Chakwal
FAW,2013,Petrol,Manual,1000cc,"208,979 km",750000,https://www.pakwheels.com/used-cars/faw-x-pv-2013-for-sale-in-rawalpindi-5207379,FAW X-PV 2013 for sale in Rawalpindi
FAW,2015,Petrol,Manual,1300cc,"66,579 km",1200000,https://www.pakwheels.com/used-cars/faw-v2-2015-for-sale-in-islamabad-5201370,FAW V2 2015 for sale in Islamabad
FAW,2018,Petrol,Manual,1300cc,"75,000 km",1350000,https://www.pakwheels.com/used-cars/faw-v2-2018-for-sale-in-faisalabad-5305977,FAW V2 2018 for sale in Faisalabad
FAW,2017,Petrol,Manual,1000cc,"29,078 km",890000,https://www.pakwheels.com/used-cars/faw-x-pv-2017-for-sale-in-karachi-4843622,FAW X-PV 2017 for sale in Karachi
FAW,2017,Petrol,Manual,1300cc,"153,235 km",1250000,https://www.pakwheels.com/used-cars/faw-v2-2017-for-sale-in-lahore-5260193,FAW V2 2017 for sale in Lahore
FAW,2019,Petrol,Manual,1300cc,"9,559 km",1450000,https://www.pakwheels.com/used-cars/faw-v2-2019-for-sale-in-lahore-5260200,FAW V2 2019 for sale in Lahore
FAW,2019,Petrol,Manual,1300cc,"42,000 km",1475000,https://www.pakwheels.com/used-cars/faw-v2-2019-for-sale-in-lahore-5187755,FAW V2 2019 for sale in Lahore
FAW,2019,Petrol,Manual,1000cc,"59,509 km",975000,https://www.pakwheels.com/used-cars/faw-x-pv-2019-for-sale-in-islamabad-5153896,FAW X-PV 2019 for sale in Islamabad
FAW,2017,Petrol,Manual,1000cc,"17,000 km",1050000,https://www.pakwheels.com/used-cars/faw-x-pv-2017-for-sale-in-faisalabad-5342066,FAW X-PV 2017 for sale in Faisalabad
FAW,2018,Petrol,Manual,1300cc,"40,400 km",1490000,https://www.pakwheels.com/used-cars/faw-v2-2018-for-sale-in-islamabad-5341780,FAW V2 2018 for sale in Islamabad
FAW,2016,Petrol,Manual,1000cc,"103,000 km",775000,https://www.pakwheels.com/used-cars/faw-x-pv-2016-for-sale-in-lahore-5341674,FAW X-PV 2016 for sale in Lahore
FAW,2016,Petrol,Manual,1000cc,"60,000 km",950000,https://www.pakwheels.com/used-cars/faw-x-pv-2016-for-sale-in-dina-5341095,FAW X-PV 2016 for sale in Dina
FAW,2017,Petrol,Manual,1000cc,"135,000 km",650000,https://www.pakwheels.com/used-cars/faw-carrier-2017-for-sale-in-lahore-5340424,FAW Carrier 2017 for sale in Lahore
FAW,2017,Petrol,Manual,1000cc,"44,551 km",850000,https://www.pakwheels.com/used-cars/faw-x-pv-2017-for-sale-in-gujranwala-5340309,FAW X-PV 2017 for sale in Gujranwala
FAW,2018,Petrol,Manual,1300cc,"29,000 km",1225000,https://www.pakwheels.com/used-cars/faw-v2-2018-for-sale-in-lahore-5340301,FAW V2 2018 for sale in Lahore
