Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Honda,2012,Petrol,Automatic,1800cc,"85,000 km",1975000,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-karachi-5312921,Honda Civic 2012 for sale in Karachi
Honda,2021,Petrol,Automatic,1800cc,25 km,4280000,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-4649254,Honda Civic 2021 for sale in Islamabad
Honda,2021,Petrol,Automatic,1500cc,25 km,5190000,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-4650130,Honda Civic 2021 for sale in Islamabad
Honda,2020,Petrol,Manual,1300cc,"7,051 km",2650000,https://www.pakwheels.com/used-cars/honda-city-2020-for-sale-in-islamabad-5315494,Honda City 2020 for sale in Islamabad
Honda,2016,Petrol,Automatic,1800cc,"69,500 km",3400000,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-5338501,Honda Civic 2016 for sale in Lahore
Honda,2021,Petrol,Automatic,1500cc,"6,000 km",3050000,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-5338495,Honda City 2021 for sale in Lahore
Honda,2015,Petrol,Automatic,1500cc,"117,000 km",3890000,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-gujranwala-5338353,Honda Vezel 2015 for sale in Gujranwala
Honda,2017,Petrol,Manual,1300cc,"40,000 km",2390000,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-islamabad-5338334,Honda City 2017 for sale in Islamabad
Honda,2010,Petrol,Manual,1800cc,"32,000 km",1825000,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-karachi-5338285,Honda Civic 2010 for sale in Karachi
Honda,2011,Petrol,Manual,1300cc,"99,000 km",1725000,https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-5338157,Honda City 2011 for sale in Islamabad
Honda,2021,Petrol,Manual,1200cc,25 km,2925000,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-5296700,Honda City 2021 for sale in Islamabad
Honda,2017,Petrol,Manual,1300cc,"20,000 km",2440000,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-sahiwal-5338671,Honda City 2017 for sale in Sahiwal
Honda,2015,Hybrid,Automatic,1500cc,"65,000 km",2675000,https://www.pakwheels.com/used-cars/honda-fit-2015-for-sale-in-karachi-4971813,Honda Fit 2015 for sale in Karachi
Honda,2013,Petrol,Automatic,1800cc,"77,000 km",2420000,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-karachi-5338657,Honda Civic 2013 for sale in Karachi
Honda,1997,Petrol,Manual,1500cc,"138,000 km",750000,https://www.pakwheels.com/used-cars/honda-civic-1997-for-sale-in-lahore-5338654,Honda Civic 1997 for sale in Lahore
Honda,2016,Petrol,Manual,1300cc,"75,492 km",1985000,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-karachi-5338652,Honda City 2016 for sale in Karachi
Honda,2021,Petrol,Automatic,1800cc,11 km,4260000,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-4908195,Honda Civic 2021 for sale in Islamabad
Honda,2014,Petrol,Automatic,1500cc,"90,000 km",3800000,https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-peshawar-5338647,Honda Vezel 2014 for sale in Peshawar
Honda,1999,Petrol,Manual,1600cc,123 km,1025000,https://www.pakwheels.com/used-cars/honda-civic-1999-for-sale-in-islamabad-5338644,Honda Civic 1999 for sale in Islamabad
Honda,2015,Hybrid,Automatic,1500cc,"93,000 km",3600000,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-islamabad-5338640,Honda Vezel 2015 for sale in Islamabad
Honda,2012,Petrol,Manual,1300cc,"89,000 km",1800000,https://www.pakwheels.com/used-cars/honda-city-2012-for-sale-in-sahiwal-5338637,Honda City 2012 for sale in Sahiwal
Honda,2004,Petrol,Manual,1500cc,"96,000 km",1195000,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-sargodha-5338630,Honda Civic 2004 for sale in Sargodha
Honda,2018,Petrol,Automatic,1800cc,"1,600 km",2000000,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-gojra-5338624,Honda Civic 2018 for sale in Gojra
Honda,2015,Petrol,Automatic,1500cc,"69,000 km",3850000,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-karachi-5338623,Honda Vezel 2015 for sale in Karachi
Honda,2015,Petrol,Manual,1300cc,"76,000 km",2050000,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-rawalpindi-5338621,Honda City 2015 for sale in Rawalpindi
Honda,2013,Petrol,Automatic,1800cc,"86,000 km",2575000,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-5338620,Honda Civic 2013 for sale in Lahore
Honda,2004,Petrol,Manual,1300cc,"240,000 km",1050000,https://www.pakwheels.com/used-cars/honda-city-2004-for-sale-in-karachi-5338619,Honda City 2004 for sale in Karachi
Honda,2014,Petrol,Automatic,1800cc,"58,000 km",2730000,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-islamabad-5338617,Honda Civic 2014 for sale in Islamabad
Honda,2008,Petrol,Manual,1300cc,"180,000 km",1275000,https://www.pakwheels.com/used-cars/honda-city-2008-for-sale-in-multan-5338595,Honda City 2008 for sale in Multan
Honda,2013,Petrol,Manual,1300cc,"67,000 km",1780000,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-karachi-5338613,Honda City 2013 for sale in Karachi
Honda,2009,Petrol,Automatic,1800cc,"130,000 km",1860000,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-islamabad-5338610,Honda Civic 2009 for sale in Islamabad
Honda,2006,Petrol,Manual,1300cc,"175,000 km",1400000,https://www.pakwheels.com/used-cars/honda-city-2006-for-sale-in-rawalpindi-5338606,Honda City 2006 for sale in Rawalpindi
Honda,2020,Petrol,Automatic,1500cc,"39,000 km",3325000,https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-islamabad-5338128,Honda BR-V 2020 for sale in Islamabad
Honda,2016,Hybrid,Automatic,1500cc,"64,000 km",4775000,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-rawalpindi-5338117,Honda Vezel 2016 for sale in Rawalpindi
Honda,2019,Hybrid,Automatic,1500cc,"7,500 km",6500000,https://www.pakwheels.com/used-cars/honda-insight-2019-for-sale-in-peshawar-5291865,Honda Insight 2019 for sale in Peshawar
Honda,2015,Petrol,Automatic,1500cc,"78,000 km",2425000,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-islamabad-5329498,Honda City 2015 for sale in Islamabad
Honda,2016,Petrol,Automatic,1500cc,"65,000 km",4275000,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-multan-5199415,Honda Vezel 2016 for sale in Multan
Honda,2016,Petrol,Automatic,1500cc,"61,300 km",4050000,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-multan-5275808,Honda Vezel 2016 for sale in Multan
Honda,2017,Hybrid,Automatic,1500cc,"40,000 km",3595000,https://www.pakwheels.com/used-cars/honda-grace-hybrid-2017-for-sale-in-multan-5163772,Honda Grace Hybrid 2017 for sale in Multan
Honda,2019,Petrol,Automatic,660cc,"13,422 km",2095000,https://www.pakwheels.com/used-cars/honda-n-wgn-2019-for-sale-in-multan-5242435,Honda N Wgn 2019 for sale in Multan
Honda,2004,Petrol,Automatic,1500cc,"150,000 km",1275000,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-rawalpindi-5338047,Honda Civic 2004 for sale in Rawalpindi
Honda,2017,Petrol,Automatic,1800cc,"62,000 km",3660000,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-5337976,Honda Civic 2017 for sale in Islamabad
Honda,2009,Petrol,Manual,1800cc,"57,000 km",2190000,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-islamabad-5337919,Honda Civic 2009 for sale in Islamabad
Honda,2004,Petrol,Automatic,1500cc,"134,888 km",1225000,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-peshawar-5337943,Honda Civic 2004 for sale in Peshawar
Honda,2005,Petrol,Manual,1300cc,"180,000 km",1090000,https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-lahore-5296066,Honda City 2005 for sale in Lahore
Honda,2017,Petrol,Automatic,1500cc,"41,000 km",5050000,https://www.pakwheels.com/used-cars/honda-vezel-2017-for-sale-in-karachi-5338582,Honda Vezel 2017 for sale in Karachi
Honda,2016,Petrol,Manual,1300cc,"70,000 km",2050000,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-hyderabad-5338579,Honda City 2016 for sale in Hyderabad
Honda,2017,Petrol,Automatic,1800cc,"18,000 km",3875000,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-mirpur-ak-5338564,Honda Civic 2017 for sale in Mirpur A.K.
Honda,2014,Petrol,Automatic,1800cc,"109,000 km",2520000,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-lahore-5338562,Honda Civic 2014 for sale in Lahore
Honda,2010,Petrol,Manual,1800cc,"90,000 km",1625000,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-karachi-5338551,Honda Civic 2010 for sale in Karachi
Honda,2018,Petrol,Manual,1300cc,"58,000 km",2390000,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-5338550,Honda City 2018 for sale in Lahore
Honda,2019,Petrol,Automatic,1500cc,"24,000 km",3400000,https://www.pakwheels.com/used-cars/honda-br-v-2019-for-sale-in-islamabad-5338540,Honda BR-V 2019 for sale in Islamabad
Honda,2021,Petrol,Automatic,1500cc,"39,000 km",3350000,https://www.pakwheels.com/used-cars/honda-freed-2021-for-sale-in-gujranwala-5338529,Honda Freed 2021 for sale in Gujranwala
Honda,2021,Petrol,Automatic,1200cc,10 km,3250000,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-sialkot-5338525,Honda City 2021 for sale in Sialkot
Honda,2017,Petrol,Automatic,1800cc,"86,000 km",3300000,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-5338507,Honda Civic 2017 for sale in Lahore
Honda,2014,Petrol,Automatic,1800cc,"73,000 km",2740000,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-islamabad-5338505,Honda Civic 2014 for sale in Islamabad
Honda,2009,Petrol,Manual,1300cc,"142,000 km",1685000,https://www.pakwheels.com/used-cars/honda-city-2009-for-sale-in-islamabad-5338506,Honda City 2009 for sale in Islamabad
Honda,2013,Petrol,Automatic,1800cc,"75,000 km",2220000,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-5338504,Honda Civic 2013 for sale in Lahore
Honda,2018,Petrol,Automatic,660cc,"72,000 km",1630000,https://www.pakwheels.com/used-cars/honda-n-wgn-2018-for-sale-in-lahore-5338475,Honda N Wgn 2018 for sale in Lahore
Honda,2004,Petrol,Manual,1500cc,"256,866 km",1280000,https://www.pakwheels.com/used-cars/honda-other-2004-for-sale-in-peshawar-5338474,Honda Other 2004 for sale in Peshawar
Honda,2006,Petrol,Automatic,1500cc,"148,000 km",1145000,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-wazirabad-5234321,Honda Civic 2006 for sale in Wazirabad
Honda,2015,Petrol,Manual,1300cc,"33,000 km",2135000,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-karachi-5338466,Honda City 2015 for sale in Karachi
Honda,2013,Petrol,Automatic,1300cc,"72,000 km",1925000,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-karachi-5338461,Honda City 2013 for sale in Karachi
Honda,2015,Petrol,Automatic,1800cc,"84,000 km",2800000,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-islamabad-5338457,Honda Civic 2015 for sale in Islamabad
