Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Honda,2017,Hybrid,Automatic,1500cc,"23,000 km",3545000,https://www.pakwheels.com/used-cars/honda-grace-hybrid-2017-for-sale-in-multan-4675764,Honda Grace Hybrid 2017 for sale in Multan
Honda,2018,Petrol,Automatic,660cc,"32,000 km",2075000,https://www.pakwheels.com/used-cars/honda-n-wgn-2018-for-sale-in-multan-5222631,Honda N Wgn 2018 for sale in Multan
Honda,2018,Petrol,Automatic,1000cc,"24,500 km",2160000,https://www.pakwheels.com/used-cars/honda-n-wgn-2018-for-sale-in-lahore-5341519,Honda N Wgn 2018 for sale in Lahore
Honda,2011,Petrol,Manual,1300cc,"80,000 km",1850000,https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-5342343,Honda City 2011 for sale in Islamabad
Honda,2012,Petrol,Automatic,1800cc,"56,000 km",2275000,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-karachi-5342398,Honda Civic 2012 for sale in Karachi
Honda,2018,Petrol,Manual,1300cc,"77,000 km",2400000,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-5342360,Honda City 2018 for sale in Lahore
Honda,2012,Petrol,Automatic,1800cc,"85,000 km",1975000,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-karachi-5312921,Honda Civic 2012 for sale in Karachi
Honda,2014,Petrol,Manual,1800cc,"68,000 km",2420000,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-5341646,Honda Civic 2014 for sale in Karachi
Honda,2021,Petrol,Automatic,1500cc,29 km,5100000,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-peshawar-5310856,Honda Civic 2021 for sale in Peshawar
Honda,2014,Petrol,Automatic,1500cc,"150,000 km",3050000,https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-lahore-5332964,Honda Vezel 2014 for sale in Lahore
Honda,2013,Petrol,Automatic,1800cc,"90,000 km",2250000,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-5300169,Honda Civic 2013 for sale in Lahore
Honda,2014,Hybrid,Automatic,1500cc,"73,000 km",2575000,https://www.pakwheels.com/used-cars/honda-fit-2014-for-sale-in-lahore-5259009,Honda Fit 2014 for sale in Lahore
Honda,2009,Petrol,Manual,1300cc,"148,000 km",1585000,https://www.pakwheels.com/used-cars/honda-city-2009-for-sale-in-lahore-5342746,Honda City 2009 for sale in Lahore
Honda,2021,Petrol,Automatic,1800cc,"1,600 km",4195000,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-faisalabad-5342745,Honda Civic 2021 for sale in Faisalabad
Honda,2007,Petrol,Manual,1800cc,"88,000 km",1725000,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-karachi-5342741,Honda Civic 2007 for sale in Karachi
Honda,2007,Petrol,Automatic,1800cc,"113,000 km",1680000,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-peshawar-5342731,Honda Civic 2007 for sale in Peshawar
