Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Jeep,2013,Petrol,Automatic,6400cc,"26,000 km",24000000,https://www.pakwheels.com/used-cars/jeep-cherokee-2013-for-sale-in-lahore-5340570,Jeep Cherokee 2013 for sale in Lahore
Jeep,2020,Petrol,Automatic,3600cc,"18,000 km",23500000,https://www.pakwheels.com/used-cars/jeep-other-2020-for-sale-in-karachi-5203415,Jeep Other 2020 for sale in Karachi
Jeep,1964,Diesel,Manual,2200cc,"100,000 km",975000,https://www.pakwheels.com/used-cars/jeep-cj-5-1964-for-sale-in-islamabad-4976889,Jeep CJ 5 1964 for sale in Islamabad
Jeep,1980,Diesel,Manual,2400cc,"24,000 km",1450000,https://www.pakwheels.com/used-cars/jeep-cj-7-1980-for-sale-in-rawalpindi-5342576,Jeep Cj 7 1980 for sale in Rawalpindi
Jeep,1992,Diesel,Manual,2000cc,"70,000 km",850000,https://www.pakwheels.com/used-cars/jeep-m-825-1992-for-sale-in-sialkot-5342301,Jeep M 825 1992 for sale in Sialkot
Jeep,1988,Diesel,Manual,2000cc,"80,000 km",775000,https://www.pakwheels.com/used-cars/jeep-m-825-1988-for-sale-in-lahore-5339807,Jeep M 825 1988 for sale in Lahore
Jeep,1982,Diesel,Manual,2000cc,"50,000 km",725000,https://www.pakwheels.com/used-cars/jeep-cj-7-1982-for-sale-in-lahore-4690399,Jeep Cj 7 1982 for sale in Lahore
Jeep,1979,Petrol,Manual,2000cc,9 km,1400000,https://www.pakwheels.com/used-cars/jeep-cj-7-1979-for-sale-in-attock-5335691,Jeep Cj 7 1979 for sale in Attock
Jeep,1973,Petrol,Manual,2000cc,"65,299 km",450000,https://www.pakwheels.com/used-cars/jeep-cj-7-1973-for-sale-in-chunian-5334555,Jeep Cj 7 1973 for sale in Chunian
Jeep,1982,Petrol,Manual,2500cc,"111,111 km",870000,https://www.pakwheels.com/used-cars/jeep-cj-5-1982-for-sale-in-peshawar-5331824,Jeep CJ 5 1982 for sale in Peshawar
Jeep,1979,Diesel,Manual,2400cc,"1,000 km",1200000,https://www.pakwheels.com/used-cars/jeep-cj-7-1979-for-sale-in-peshawar-5332080,Jeep Cj 7 1979 for sale in Peshawar
Jeep,1992,Petrol,Manual,2400cc,"95,000 km",1075000,https://www.pakwheels.com/used-cars/jeep-m-825-1992-for-sale-in-lahore-5330448,Jeep M 825 1992 for sale in Lahore
Jeep,1990,Diesel,Manual,2000cc,"121,472 km",825000,https://www.pakwheels.com/used-cars/jeep-m-825-1990-for-sale-in-islamabad-5330285,Jeep M 825 1990 for sale in Islamabad
Jeep,1986,Diesel,Manual,2000cc,"200,000 km",520000,https://www.pakwheels.com/used-cars/jeep-other-1986-for-sale-in-swatmingora-5329865,Jeep Other 1986 for sale in Swatmingora
