Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
KIA,2020,Petrol,Automatic,2000cc,"9,000 km",5499000,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-sialkot-5301320,KIA Sportage 2020 for sale in Sialkot
KIA,2020,Petrol,Automatic,2000cc,"22,500 km",5250000,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-5341857,KIA Sportage 2020 for sale in Lahore
KIA,2019,Petrol,Automatic,3300cc,"55,000 km",7200000,https://www.pakwheels.com/used-cars/kia-grand-carnival-2019-for-sale-in-islamabad-5307579,KIA Grand Carnival 2019 for sale in Islamabad
KIA,2021,Petrol,Automatic,2000cc,1 km,4665000,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-sialkot-5328393,KIA Sportage 2021 for sale in Sialkot
KIA,2021,Petrol,Automatic,2000cc,"4,000 km",5600000,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-gujranwala-5340888,KIA Sportage 2021 for sale in Gujranwala
KIA,2021,Petrol,Automatic,2000cc,"8,500 km",5695000,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-islamabad-4674259,KIA Sportage 2021 for sale in Islamabad
KIA,2020,Petrol,Automatic,3300cc,"4,000 km",7900000,https://www.pakwheels.com/used-cars/kia-grand-carnival-2020-for-sale-in-karachi-5340701,KIA Grand Carnival 2020 for sale in Karachi
KIA,2021,Petrol,Automatic,2400cc,100 km,8000000,https://www.pakwheels.com/used-cars/kia-sorento-2021-for-sale-in-lahore-5296092,KIA Sorento 2021 for sale in Lahore
KIA,2021,Petrol,Automatic,2000cc,"33,000 km",5325000,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-islamabad-5340373,KIA Sportage 2021 for sale in Islamabad
KIA,2020,Petrol,Automatic,2000cc,"15,000 km",5500000,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-5126648,KIA Sportage 2020 for sale in Lahore
KIA,2021,Petrol,Automatic,2400cc,5 km,7050000,https://www.pakwheels.com/used-cars/kia-sorento-2021-for-sale-in-islamabad-5096920,KIA Sorento 2021 for sale in Islamabad
