Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Lexus,2012,Hybrid,Automatic,3500cc,"89,000 km",12000000,https://www.pakwheels.com/used-cars/lexus-rx-series-2012-for-sale-in-karachi-4965369,Lexus RX Series 2012 for sale in Karachi
Lexus,2016,Petrol,Automatic,5700cc,"33,000 km",48500000,https://www.pakwheels.com/used-cars/lexus-lx-series-2016-for-sale-in-karachi-5334278,Lexus LX Series 2016 for sale in Karachi
Lexus,2016,Petrol,Automatic,3500cc,"22,000 km",25000000,https://www.pakwheels.com/used-cars/lexus-rx-series-2016-for-sale-in-karachi-5030925,Lexus RX Series 2016 for sale in Karachi
Lexus,2016,Petrol,Automatic,5663cc,"62,000 km",49500000,https://www.pakwheels.com/used-cars/lexus-lx-series-2016-for-sale-in-islamabad-5328403,Lexus LX Series 2016 for sale in Islamabad
Lexus,2012,Hybrid,Automatic,3500cc,"71,557 km",9000000,https://www.pakwheels.com/used-cars/lexus-rx-series-2012-for-sale-in-lahore-5327003,Lexus RX Series 2012 for sale in Lahore
Lexus,2011,Petrol,Automatic,3500cc,"94,000 km",7900000,https://www.pakwheels.com/used-cars/lexus-rx-series-2011-for-sale-in-karachi-5325933,Lexus RX Series 2011 for sale in Karachi
Lexus,2016,Hybrid,Automatic,3500cc,"27,000 km",22500000,https://www.pakwheels.com/used-cars/lexus-rx-series-2016-for-sale-in-karachi-4845147,Lexus RX Series 2016 for sale in Karachi
Lexus,2016,Petrol,Automatic,5663cc,"30,000 km",53000000,https://www.pakwheels.com/used-cars/lexus-lx-series-2016-for-sale-in-islamabad-5321671,Lexus LX Series 2016 for sale in Islamabad
Lexus,2012,Petrol,Automatic,3500cc,"60,000 km",9500000,https://www.pakwheels.com/used-cars/lexus-rx-series-2012-for-sale-in-karachi-5226107,Lexus RX Series 2012 for sale in Karachi
Lexus,2010,Petrol,Automatic,3500cc,"127,000 km",6500000,https://www.pakwheels.com/used-cars/lexus-rx-series-2010-for-sale-in-karachi-5218725,Lexus RX Series 2010 for sale in Karachi
Lexus,1996,Petrol,Automatic,4700cc,"100,000 km",1700000,https://www.pakwheels.com/used-cars/lexus-lx-series-1996-for-sale-in-karachi-5342448,Lexus LX Series 1996 for sale in Karachi
Lexus,2020,Petrol,Automatic,5663cc,"10,000 km",95000000,https://www.pakwheels.com/used-cars/lexus-lx-series-2020-for-sale-in-islamabad-5341710,Lexus LX Series 2020 for sale in Islamabad
Lexus,2004,Petrol,Automatic,4700cc,"125,000 km",7100000,https://www.pakwheels.com/used-cars/lexus-lx-series-2004-for-sale-in-multan-5341339,Lexus LX Series 2004 for sale in Multan
Lexus,2016,Petrol,Automatic,5700cc,"19,000 km",52000000,https://www.pakwheels.com/used-cars/lexus-lx-series-2016-for-sale-in-lahore-5328760,Lexus LX Series 2016 for sale in Lahore
Lexus,2001,Petrol,Automatic,4700cc,"112,000 km",6700000,https://www.pakwheels.com/used-cars/lexus-lx-series-2001-for-sale-in-karachi-5337697,Lexus LX Series 2001 for sale in Karachi
Lexus,2018,Petrol,Automatic,3500cc,"25,000 km",27500000,https://www.pakwheels.com/used-cars/lexus-rx-series-2018-for-sale-in-islamabad-5336782,Lexus RX Series 2018 for sale in Islamabad
Lexus,2003,Petrol,Automatic,3000cc,"120,000 km",2999999,https://www.pakwheels.com/used-cars/lexus-rx-series-2003-for-sale-in-lahore-5336732,Lexus RX Series 2003 for sale in Lahore
Lexus,2016,Petrol,Automatic,5700cc,"30,000 km",47500000,https://www.pakwheels.com/used-cars/lexus-lx-series-2016-for-sale-in-lahore-5233016,Lexus LX Series 2016 for sale in Lahore
Lexus,2018,Petrol,Automatic,5700cc,"3,500 km",68500000,https://www.pakwheels.com/used-cars/lexus-lx-series-2018-for-sale-in-karachi-5332845,Lexus LX Series 2018 for sale in Karachi
Lexus,2016,Petrol,Automatic,5663cc,"26,000 km",45000000,https://www.pakwheels.com/used-cars/lexus-lx-series-2016-for-sale-in-karachi-5218971,Lexus LX Series 2016 for sale in Karachi
Lexus,2008,Petrol,Automatic,5700cc,"60,000 km",25000000,https://www.pakwheels.com/used-cars/lexus-lx-series-2008-for-sale-in-rawalpindi-4893982,Lexus LX Series 2008 for sale in Rawalpindi
Lexus,2011,Petrol,Automatic,3500cc,"78,000 km",7800000,https://www.pakwheels.com/used-cars/lexus-rx-series-2011-for-sale-in-karachi-5332209,Lexus RX Series 2011 for sale in Karachi
Lexus,2010,Petrol,Automatic,3500cc,"63,500 km",7500000,https://www.pakwheels.com/used-cars/lexus-rx-series-2010-for-sale-in-karachi-5331111,Lexus RX Series 2010 for sale in Karachi
