Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
MG,2021,Petrol,Automatic,1500cc,"5,300 km",6100000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5151758,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,200 km,6050000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-faisalabad-5327098,MG HS 2021 for sale in Faisalabad
MG,2021,Petrol,Automatic,1500cc,"4,500 km",5780000,https://www.pakwheels.com/used-cars/mg-other-2021-for-sale-in-lahore-5341553,MG Other 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,45 km,6100000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5341165,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,25 km,6100000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-4981419,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,1 km,4170000,https://www.pakwheels.com/used-cars/mg-zs-2021-for-sale-in-sialkot-5111651,MG ZS 2021 for sale in Sialkot
MG,2021,Petrol,Automatic,1500cc,"10,000 km",5980000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-peshawar-5340770,MG HS 2021 for sale in Peshawar
MG,2021,Petrol,Automatic,1500cc,50 km,6150000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5335586,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,28 km,6150000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5278130,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,3 km,5915000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-gujranwala-5336415,MG HS 2021 for sale in Gujranwala
MG,2021,Petrol,Automatic,1500cc,660 km,6050000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-faisalabad-5234276,MG HS 2021 for sale in Faisalabad
MG,2021,Petrol,Automatic,1500cc,49 km,6000000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5342347,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,110 km,6000000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-sialkot-5342068,MG HS 2021 for sale in Sialkot
MG,2021,Petrol,Automatic,1500cc,"4,600 km",5850000,https://www.pakwheels.com/used-cars/mg-other-2021-for-sale-in-lahore-5342063,MG Other 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,20 km,5820000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-karachi-5341966,MG HS 2021 for sale in Karachi
MG,2021,Petrol,Automatic,1500cc,5 km,6050000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5341914,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,900 km,6250000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-karachi-5341834,MG HS 2021 for sale in Karachi
MG,2021,Petrol,Automatic,1500cc,"5,200 km",5600000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-hafizabad-5341776,MG HS 2021 for sale in Hafizabad
MG,2021,Petrol,Automatic,1500cc,1 km,6200000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5341769,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,14 km,6100000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-rawalpindi-5341612,MG HS 2021 for sale in Rawalpindi
MG,2021,Petrol,Automatic,1500cc,44 km,6100000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-sialkot-5341289,MG HS 2021 for sale in Sialkot
MG,2021,Petrol,Automatic,1500cc,1 km,6000000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-rawalpindi-5341149,MG HS 2021 for sale in Rawalpindi
MG,2021,Petrol,Automatic,1500cc,530 km,6000000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5341116,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,35 km,6000000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-gujranwala-5341100,MG HS 2021 for sale in Gujranwala
MG,2021,Petrol,Automatic,1500cc,60 km,6100000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5341047,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,50 km,6000000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5331122,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,"2,970 km",5880000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-peshawar-5340226,MG HS 2021 for sale in Peshawar
MG,2021,Petrol,Automatic,1500cc,8 km,6000000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5339886,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,"3,900 km",6175000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-karachi-5339723,MG HS 2021 for sale in Karachi
MG,2021,Petrol,Automatic,1500cc,330 km,5975000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-sialkot-5339818,MG HS 2021 for sale in Sialkot
MG,2021,Petrol,Automatic,1500cc,1 km,6125000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5337429,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,60 km,5925000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-multan-5256276,MG HS 2021 for sale in Multan
MG,2021,Petrol,Automatic,1500cc,10 km,5960000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5238317,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,20 km,6200000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5266646,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,25 km,6200000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5266643,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,47 km,6200000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5222260,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,55 km,6175000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5147267,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,"3,000 km",6100000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-karachi-5331371,MG HS 2021 for sale in Karachi
MG,2021,Petrol,Automatic,1500cc,50 km,6400000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5340652,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,30 km,6050000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5338400,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,75 km,5975000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-faisalabad-5340581,MG HS 2021 for sale in Faisalabad
MG,2021,Petrol,Automatic,1500cc,600 km,6200000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5340542,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,"2,500 km",5950000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5340210,MG HS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,"2,200 km",4200000,https://www.pakwheels.com/used-cars/mg-zs-2021-for-sale-in-islamabad-5340449,MG ZS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,190 km,6200000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5340189,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,"5,000 km",5850000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5339570,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,"17,500 km",5650000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-peshawar-5310065,MG HS 2021 for sale in Peshawar
MG,2021,Petrol,Automatic,1500cc,900 km,4350000,https://www.pakwheels.com/used-cars/mg-zs-2021-for-sale-in-islamabad-5339239,MG ZS 2021 for sale in Islamabad
MG,2021,Petrol,Automatic,1500cc,10 km,5950000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-5338072,MG HS 2021 for sale in Lahore
MG,2021,Petrol,Automatic,1500cc,5 km,6200000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5339225,MG HS 2021 for sale in Islamabad
