Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Mazda,2015,Petrol,Automatic,660cc,"45,000 km",1575000,https://www.pakwheels.com/used-cars/mazda-scrum-2015-for-sale-in-gujranwala-5139002,Mazda Scrum 2015 for sale in Gujranwala
Mazda,2003,Petrol,Manual,1300cc,"60,000 km",1550000,https://www.pakwheels.com/used-cars/mazda-rx8-2003-for-sale-in-lahore-5284601,Mazda RX8 2003 for sale in Lahore
Mazda,2007,Petrol,Automatic,1500cc,"157,943 km",1360000,https://www.pakwheels.com/used-cars/mazda-axela-2007-for-sale-in-karachi-5257567,Mazda Axela 2007 for sale in Karachi
Mazda,2012,Petrol,Automatic,660cc,"76,000 km",1250000,https://www.pakwheels.com/used-cars/mazda-scrum-2012-for-sale-in-lahore-5122958,Mazda Scrum 2012 for sale in Lahore
Mazda,2015,Diesel,Automatic,1500cc,"70,000 km",4550000,https://www.pakwheels.com/used-cars/mazda-cx3-2015-for-sale-in-gujranwala-5312473,Mazda Cx3 2015 for sale in Gujranwala
Mazda,2006,Petrol,Automatic,1300cc,"48,000 km",2700000,https://www.pakwheels.com/used-cars/mazda-rx8-2006-for-sale-in-peshawar-5127553,Mazda RX8 2006 for sale in Peshawar
Mazda,2016,Petrol,Automatic,660cc,"21,000 km",1560000,https://www.pakwheels.com/used-cars/mazda-scrum-2016-for-sale-in-gujranwala-5148298,Mazda Scrum 2016 for sale in Gujranwala
Mazda,2018,Petrol,Automatic,660cc,"55,887 km",2250000,https://www.pakwheels.com/used-cars/mazda-flair-2018-for-sale-in-faisalabad-5322321,Mazda Flair 2018 for sale in Faisalabad
Mazda,2012,Petrol,Automatic,660cc,"94,000 km",1115000,https://www.pakwheels.com/used-cars/mazda-carol-2012-for-sale-in-sahiwal-5342493,Mazda Carol 2012 for sale in Sahiwal
Mazda,2014,Petrol,Automatic,660cc,"74,000 km",1535000,https://www.pakwheels.com/used-cars/mazda-carol-eco-2014-for-sale-in-islamabad-5342269,Mazda Carol Eco 2014 for sale in Islamabad
Mazda,2017,Petrol,Automatic,660cc,"58,000 km",2100000,https://www.pakwheels.com/used-cars/mazda-scrum-wagon-2017-for-sale-in-karachi-5342181,Mazda Scrum Wagon 2017 for sale in Karachi
Mazda,2014,Petrol,Automatic,660cc,"48,000 km",1350000,https://www.pakwheels.com/used-cars/mazda-carol-2014-for-sale-in-karachi-5340998,Mazda Carol 2014 for sale in Karachi
Mazda,2017,Petrol,Automatic,660cc,"176,000 km",1250000,https://www.pakwheels.com/used-cars/mazda-scrum-2017-for-sale-in-gujranwala-5340834,Mazda Scrum 2017 for sale in Gujranwala
Mazda,2014,Petrol,Automatic,660cc,"90,000 km",1395000,https://www.pakwheels.com/used-cars/mazda-flair-2014-for-sale-in-rawalpindi-5340789,Mazda Flair 2014 for sale in Rawalpindi
Mazda,2015,Petrol,Automatic,660cc,"80,000 km",1610000,https://www.pakwheels.com/used-cars/mazda-carol-2015-for-sale-in-islamabad-5339932,Mazda Carol 2015 for sale in Islamabad
Mazda,2005,Petrol,Manual,1300cc,"12,344 km",1590000,https://www.pakwheels.com/used-cars/mazda-rx8-2005-for-sale-in-islamabad-5338544,Mazda RX8 2005 for sale in Islamabad
Mazda,2016,Petrol,Automatic,660cc,"64,000 km",1620000,https://www.pakwheels.com/used-cars/mazda-carol-eco-2016-for-sale-in-islamabad-5338407,Mazda Carol Eco 2016 for sale in Islamabad
Mazda,2018,Petrol,Automatic,660cc,"8,850 km",1900000,https://www.pakwheels.com/used-cars/mazda-carol-2018-for-sale-in-peshawar-5329072,Mazda Carol 2018 for sale in Peshawar
