Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Mitsubishi,2013,Petrol,Automatic,600cc,"171,000 km",1100000,https://www.pakwheels.com/used-cars/mitsubishi-minicab-bravo-2013-for-sale-in-peshawar-4779558,Mitsubishi Minicab Bravo 2013 for sale in Peshawar
Mitsubishi,2004,Petrol,Automatic,1300cc,"212,000 km",1150000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2004-for-sale-in-rawalpindi-5341752,Mitsubishi Lancer 2004 for sale in Rawalpindi
Mitsubishi,2013,Petrol,Automatic,660cc,"94,000 km",1475000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2013-for-sale-in-rawalpindi-5256316,Mitsubishi Ek Wagon 2013 for sale in Rawalpindi
Mitsubishi,2018,Petrol,Automatic,660cc,"19,566 km",1950000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2018-for-sale-in-lahore-5190273,Mitsubishi Ek Wagon 2018 for sale in Lahore
Mitsubishi,2011,Petrol,Automatic,660cc,"90,403 km",1350000,https://www.pakwheels.com/used-cars/mitsubishi-town-box-2011-for-sale-in-lahore-5226042,Mitsubishi Town Box 2011 for sale in Lahore
Mitsubishi,2005,Petrol,Automatic,1600cc,"125,000 km",1050000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-karachi-5269852,Mitsubishi Lancer 2005 for sale in Karachi
Mitsubishi,2013,Petrol,Automatic,660cc,"64,000 km",1425000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2013-for-sale-in-lahore-5161107,Mitsubishi Ek Wagon 2013 for sale in Lahore
Mitsubishi,2007,Petrol,Automatic,660cc,"130,000 km",1090000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2007-for-sale-in-rawalpindi-5329272,Mitsubishi Ek Wagon 2007 for sale in Rawalpindi
Mitsubishi,2013,Petrol,Automatic,660cc,"75,000 km",1375000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2013-for-sale-in-gujranwala-5047701,Mitsubishi Ek Wagon 2013 for sale in Gujranwala
Mitsubishi,2003,Diesel,Automatic,3200cc,"135,000 km",3850000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-2003-for-sale-in-jhang-5307829,Mitsubishi Pajero 2003 for sale in Jhang
Mitsubishi,2017,Petrol,Automatic,660cc,"26,000 km",1950000,https://www.pakwheels.com/used-cars/mitsubishi-ek-custom-2017-for-sale-in-faisalabad-5091481,Mitsubishi EK Custom 2017 for sale in Faisalabad
Mitsubishi,2005,Petrol,Automatic,1600cc,"165,000 km",1250000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-lahore-5342483,Mitsubishi Lancer 2005 for sale in Lahore
Mitsubishi,1992,Petrol,Automatic,3500cc,"5,500 km",2300000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1992-for-sale-in-karachi-5342469,Mitsubishi Pajero 1992 for sale in Karachi
Mitsubishi,2017,Petrol,Automatic,660cc,"49,000 km",1675000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2017-for-sale-in-rawalpindi-5333489,Mitsubishi Ek Wagon 2017 for sale in Rawalpindi
Mitsubishi,2007,Diesel,Manual,2500cc,"200,000 km",1100000,https://www.pakwheels.com/used-cars/mitsubishi-hiace-2007-for-sale-in-swabi-5342177,Mitsubishi Hiace 2007 for sale in Swabi
Mitsubishi,2005,Petrol,Automatic,1600cc,"90,000 km",1450000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-rawalpindi-5342163,Mitsubishi Lancer 2005 for sale in Rawalpindi
Mitsubishi,1987,Diesel,Manual,2500cc,"80,000 km",1300000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1987-for-sale-in-karachi-5341973,Mitsubishi Pajero 1987 for sale in Karachi
Mitsubishi,2014,Petrol,Automatic,660cc,"66,000 km",1270000,https://www.pakwheels.com/used-cars/mitsubishi-ek-space-custom-2014-for-sale-in-karachi-5341956,Mitsubishi EK Space Custom 2014 for sale in Karachi
Mitsubishi,1989,Diesel,Manual,2500cc,"300,000 km",800000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1989-for-sale-in-mardan-5341947,Mitsubishi Pajero 1989 for sale in Mardan
Mitsubishi,2005,Petrol,Automatic,1500cc,"200,000 km",1199999,https://www.pakwheels.com/used-cars/mitsubishi-lancer-evolution-2005-for-sale-in-islamabad-5341833,Mitsubishi Lancer Evolution 2005 for sale in Islamabad
Mitsubishi,2015,Petrol,Automatic,660cc,"63,900 km",1250000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2015-for-sale-in-faisalabad-5341768,Mitsubishi Ek Wagon 2015 for sale in Faisalabad
Mitsubishi,2005,Petrol,Manual,1300cc,"285,000 km",1000000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-islamabad-5341754,Mitsubishi Lancer 2005 for sale in Islamabad
Mitsubishi,1989,Diesel,Manual,2500cc,"220,000 km",1150000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1989-for-sale-in-rawalpindi-5341628,Mitsubishi Pajero 1989 for sale in Rawalpindi
Mitsubishi,2004,Petrol,Manual,1300cc,"195,000 km",1250000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2004-for-sale-in-islamabad-5341619,Mitsubishi Lancer 2004 for sale in Islamabad
Mitsubishi,1993,Diesel,Manual,2800cc,13 km,1690000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1993-for-sale-in-islamabad-5341437,Mitsubishi Pajero 1993 for sale in Islamabad
Mitsubishi,2013,CNG,Automatic,660cc,"116,452 km",1085000,https://www.pakwheels.com/used-cars/mitsubishi-i-mivec-2013-for-sale-in-karachi-5341391,Mitsubishi I Mivec 2013 for sale in Karachi
Mitsubishi,2004,Petrol,Manual,1300cc,"195,000 km",1250000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2004-for-sale-in-rawalpindi-5341290,Mitsubishi Lancer 2004 for sale in Rawalpindi
Mitsubishi,2011,Petrol,Automatic,660cc,"139,000 km",1650000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-mini-2011-for-sale-in-islamabad-5333170,Mitsubishi Pajero Mini 2011 for sale in Islamabad
Mitsubishi,2005,Petrol,Manual,1300cc,15 km,950000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-islamabad-5340973,Mitsubishi Lancer 2005 for sale in Islamabad
Mitsubishi,2004,Petrol,Manual,1300cc,"195,000 km",1250000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2004-for-sale-in-rawalpindi-5340962,Mitsubishi Lancer 2004 for sale in Rawalpindi
Mitsubishi,2012,Petrol,Automatic,660cc,"64,000 km",1350000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2012-for-sale-in-haroonabad-5332475,Mitsubishi Ek Wagon 2012 for sale in Haroonabad
Mitsubishi,2013,Petrol,Automatic,1500cc,"122,776 km",1480000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2013-for-sale-in-islamabad-4980413,Mitsubishi Lancer 2013 for sale in Islamabad
Mitsubishi,2007,Petrol,Automatic,660cc,"140,000 km",1035000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2007-for-sale-in-lahore-5340617,Mitsubishi Ek Wagon 2007 for sale in Lahore
Mitsubishi,2004,Petrol,Manual,1600cc,"186,547 km",985000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2004-for-sale-in-lahore-5318464,Mitsubishi Lancer 2004 for sale in Lahore
Mitsubishi,2006,Petrol,Automatic,2000cc,"65,000 km",3200000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-2006-for-sale-in-islamabad-5324725,Mitsubishi Pajero 2006 for sale in Islamabad
Mitsubishi,2004,Petrol,Manual,1300cc,"178,530 km",790000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2004-for-sale-in-karachi-5228486,Mitsubishi Lancer 2004 for sale in Karachi
Mitsubishi,1995,Diesel,Manual,2800cc,"92,000 km",2700000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1995-for-sale-in-islamabad-5106206,Mitsubishi Pajero 1995 for sale in Islamabad
Mitsubishi,2014,Petrol,Automatic,1000cc,"60,000 km",1600000,https://www.pakwheels.com/used-cars/mitsubishi-mirage-2014-for-sale-in-lahore-5298295,Mitsubishi Mirage 2014 for sale in Lahore
Mitsubishi,2005,Petrol,Automatic,1300cc,"101,500 km",1375000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-islamabad-5238916,Mitsubishi Lancer 2005 for sale in Islamabad
Mitsubishi,2013,Petrol,Automatic,1000cc,"70,000 km",1600000,https://www.pakwheels.com/used-cars/mitsubishi-mirage-2013-for-sale-in-lahore-5317120,Mitsubishi Mirage 2013 for sale in Lahore
Mitsubishi,2006,Petrol,Automatic,1600cc,"2,000 km",1500000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2006-for-sale-in-islamabad-5314303,Mitsubishi Lancer 2006 for sale in Islamabad
Mitsubishi,2005,Petrol,Manual,1300cc,"98,000 km",875000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-lahore-4763603,Mitsubishi Lancer 2005 for sale in Lahore
Mitsubishi,2002,Diesel,Automatic,3200cc,"190,041 km",4000000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-2002-for-sale-in-islamabad-5162240,Mitsubishi Pajero 2002 for sale in Islamabad
Mitsubishi,2010,Diesel,Automatic,2500cc,"157,024 km",2995000,https://www.pakwheels.com/used-cars/mitsubishi-triton-2010-for-sale-in-islamabad-5187263,Mitsubishi Triton 2010 for sale in Islamabad
Mitsubishi,2005,Petrol,Automatic,1600cc,"185,000 km",1020000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2005-for-sale-in-karachi-5340606,Mitsubishi Lancer 2005 for sale in Karachi
Mitsubishi,1993,Petrol,Automatic,2400cc,"380,000 km",1900000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1993-for-sale-in-lahore-5340486,Mitsubishi Pajero 1993 for sale in Lahore
Mitsubishi,2014,Petrol,Automatic,660cc,"79,000 km",1425000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2014-for-sale-in-karachi-5340338,Mitsubishi Ek Wagon 2014 for sale in Karachi
Mitsubishi,2016,Petrol,Automatic,660cc,"56,769 km",1675000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2016-for-sale-in-gujranwala-5340294,Mitsubishi Ek Wagon 2016 for sale in Gujranwala
Mitsubishi,1992,Petrol,Automatic,3500cc,"125,000 km",1950000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1992-for-sale-in-lodhran-5340245,Mitsubishi Pajero 1992 for sale in Lodhran
Mitsubishi,2006,Petrol,Manual,1300cc,"191,000 km",800000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2006-for-sale-in-islamabad-5340201,Mitsubishi Lancer 2006 for sale in Islamabad
Mitsubishi,2014,Petrol,Automatic,1000cc,"144,000 km",1500000,https://www.pakwheels.com/used-cars/mitsubishi-mirage-2014-for-sale-in-lahore-3237852,Mitsubishi Mirage 2014 for sale in Lahore
Mitsubishi,2006,Petrol,Automatic,1800cc,"170,000 km",1600000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2006-for-sale-in-islamabad-5340025,Mitsubishi Lancer 2006 for sale in Islamabad
Mitsubishi,1991,Petrol,Manual,1300cc,"290,494 km",365000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-1991-for-sale-in-sialkot-5339890,Mitsubishi Lancer 1991 for sale in Sialkot
Mitsubishi,2007,Petrol,Automatic,1600cc,"52,000 km",870000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2007-for-sale-in-karachi-5338915,Mitsubishi Lancer 2007 for sale in Karachi
Mitsubishi,2007,Petrol,Automatic,1600cc,"230,000 km",1550000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2007-for-sale-in-kohat-5339824,Mitsubishi Lancer 2007 for sale in Kohat
Mitsubishi,1996,Petrol,Automatic,1300cc,"150,000 km",750000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-1996-for-sale-in-talagang-5337670,Mitsubishi Lancer 1996 for sale in Talagang
Mitsubishi,1995,Petrol,Automatic,3500cc,"175,000 km",1975000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1995-for-sale-in-hafizabad-5339480,Mitsubishi Pajero 1995 for sale in Hafizabad
Mitsubishi,2013,Petrol,Automatic,660cc,"133,000 km",985000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2013-for-sale-in-lahore-5339473,Mitsubishi Ek Wagon 2013 for sale in Lahore
Mitsubishi,2011,Petrol,Automatic,660cc,"125,000 km",1275000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2011-for-sale-in-islamabad-5339425,Mitsubishi Ek Wagon 2011 for sale in Islamabad
Mitsubishi,1992,Diesel,Manual,2400cc,"500,000 km",1775000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1992-for-sale-in-lahore-5339334,Mitsubishi Pajero 1992 for sale in Lahore
Mitsubishi,1994,Diesel,Manual,2800cc,"200,000 km",1695000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1994-for-sale-in-multan-5339260,Mitsubishi Pajero 1994 for sale in Multan
Mitsubishi,2013,Petrol,Automatic,660cc,"60,000 km",1330000,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2013-for-sale-in-lahore-5339244,Mitsubishi Ek Wagon 2013 for sale in Lahore
Mitsubishi,1998,Diesel,Manual,2500cc,"786,786 km",675000,https://www.pakwheels.com/used-cars/mitsubishi-l300-1998-for-sale-in-rawalpindi-5339211,Mitsubishi L300 1998 for sale in Rawalpindi
Mitsubishi,2006,Petrol,Automatic,660cc,"195,222 km",795000,https://www.pakwheels.com/used-cars/mitsubishi-minica-2006-for-sale-in-islamabad-5339017,Mitsubishi Minica 2006 for sale in Islamabad
Mitsubishi,1992,Diesel,Automatic,2800cc,"200,000 km",1950000,https://www.pakwheels.com/used-cars/mitsubishi-pajero-1992-for-sale-in-kharian-4995461,Mitsubishi Pajero 1992 for sale in Kharian
Mitsubishi,2013,Petrol,Automatic,1000cc,"76,000 km",1450000,https://www.pakwheels.com/used-cars/mitsubishi-mirage-2013-for-sale-in-karachi-5338825,Mitsubishi Mirage 2013 for sale in Karachi
Mitsubishi,2008,Petrol,Automatic,1300cc,"130,000 km",1395000,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2008-for-sale-in-islamabad-5338810,Mitsubishi Lancer 2008 for sale in Islamabad
