Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Nissan,2014,Petrol,Automatic,660cc,"68,000 km",1490000,https://www.pakwheels.com/used-cars/nissan-dayz-highway-star-2014-for-sale-in-karachi-5075192,Nissan Dayz Highway Star 2014 for sale in Karachi
Nissan,2018,Hybrid,Automatic,1200cc,"42,000 km",3000000,https://www.pakwheels.com/used-cars/nissan-note-2018-for-sale-in-islamabad-5129764,Nissan Note 2018 for sale in Islamabad
Nissan,2015,Petrol,Automatic,660cc,"50,000 km",1675000,https://www.pakwheels.com/used-cars/nissan-dayz-highway-star-2015-for-sale-in-gujranwala-5340897,Nissan Dayz Highway Star 2015 for sale in Gujranwala
Nissan,2014,Petrol,Automatic,660cc,"103,000 km",1395000,https://www.pakwheels.com/used-cars/nissan-roox-2014-for-sale-in-islamabad-4789357,Nissan Roox 2014 for sale in Islamabad
Nissan,2018,Petrol,Automatic,1500cc,"15,000 km",3200000,https://www.pakwheels.com/used-cars/nissan-note-2018-for-sale-in-islamabad-5231560,Nissan Note 2018 for sale in Islamabad
Nissan,2017,Hybrid,Automatic,1200cc,"77,756 km",2700000,https://www.pakwheels.com/used-cars/nissan-note-2017-for-sale-in-lahore-4874121,Nissan Note 2017 for sale in Lahore
Nissan,2015,Petrol,Automatic,660cc,"35,000 km",1550000,https://www.pakwheels.com/used-cars/nissan-dayz-2015-for-sale-in-karachi-5339395,Nissan Dayz 2015 for sale in Karachi
Nissan,2018,Hybrid,Automatic,1200cc,"63,284 km",2850000,https://www.pakwheels.com/used-cars/nissan-note-2018-for-sale-in-lahore-5324718,Nissan Note 2018 for sale in Lahore
Nissan,2018,Petrol,Automatic,1200cc,"12,500 km",3075000,https://www.pakwheels.com/used-cars/nissan-note-2018-for-sale-in-gujranwala-5337751,Nissan Note 2018 for sale in Gujranwala
Nissan,2014,Petrol,Automatic,660cc,"88,000 km",1195000,https://www.pakwheels.com/used-cars/nissan-moco-2014-for-sale-in-lahore-5314827,Nissan Moco 2014 for sale in Lahore
Nissan,2018,Hybrid,Automatic,1200cc,"53,000 km",2870000,https://www.pakwheels.com/used-cars/nissan-note-2018-for-sale-in-lahore-4974764,Nissan Note 2018 for sale in Lahore
Nissan,2019,Hybrid,Automatic,1200cc,"23,000 km",2950000,https://www.pakwheels.com/used-cars/nissan-note-2019-for-sale-in-rawalpindi-5337212,Nissan Note 2019 for sale in Rawalpindi
Nissan,2017,Petrol,Automatic,1200cc,"50,000 km",2900000,https://www.pakwheels.com/used-cars/nissan-note-2017-for-sale-in-islamabad-5177492,Nissan Note 2017 for sale in Islamabad
Nissan,2018,Hybrid,Automatic,1200cc,"60,000 km",3150000,https://www.pakwheels.com/used-cars/nissan-note-2018-for-sale-in-mandi-bahauddin-5342267,Nissan Note 2018 for sale in Mandi bahauddin
Nissan,2013,Petrol,Automatic,660cc,"75,000 km",1350000,https://www.pakwheels.com/used-cars/nissan-dayz-2013-for-sale-in-karachi-5342246,Nissan Dayz 2013 for sale in Karachi
Nissan,2016,Hybrid,Automatic,1200cc,"68,000 km",2499000,https://www.pakwheels.com/used-cars/nissan-note-2016-for-sale-in-lahore-5342224,Nissan Note 2016 for sale in Lahore
Nissan,2011,Petrol,Automatic,1500cc,"82,000 km",2250000,https://www.pakwheels.com/used-cars/nissan-juke-2011-for-sale-in-karachi-5342182,Nissan Juke 2011 for sale in Karachi
Nissan,2015,Petrol,Automatic,660cc,"115,000 km",1550000,https://www.pakwheels.com/used-cars/nissan-roox-2015-for-sale-in-rawalpindi-5342152,Nissan Roox 2015 for sale in Rawalpindi
Nissan,2014,Petrol,Automatic,660cc,"80,000 km",1625000,https://www.pakwheels.com/used-cars/nissan-dayz-highway-star-2014-for-sale-in-karachi-4484425,Nissan Dayz Highway Star 2014 for sale in Karachi
