Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Prince,2020,Petrol,Manual,800cc,"6,139 km",1130000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5309709,Prince Pearl 2020 for sale in Lahore
Prince,2021,Petrol,Manual,800cc,1 km,1111000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-gujranwala-5339234,Prince Pearl 2021 for sale in Gujranwala
Prince,2021,Petrol,Manual,1000cc,100 km,1360000,https://www.pakwheels.com/used-cars/prince-k07-2021-for-sale-in-gujranwala-5338374,Prince K07 2021 for sale in Gujranwala
Prince,2021,Petrol,Manual,800cc,250 km,1199000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-gujranwala-5338366,Prince Pearl 2021 for sale in Gujranwala
Prince,2020,Petrol,Manual,800cc,"25,000 km",1185000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-gujranwala-5138998,Prince Pearl 2020 for sale in Gujranwala
Prince,2020,Petrol,Manual,800cc,"15,273 km",1050000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-karachi-5236436,Prince Pearl 2020 for sale in Karachi
Prince,2020,Petrol,Manual,800cc,"8,893 km",1110000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5059542,Prince Pearl 2020 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"10,263 km",1130000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5186650,Prince Pearl 2020 for sale in Lahore
Prince,2020,Petrol,Manual,1000cc,"6,500 km",1250000,https://www.pakwheels.com/used-cars/prince-k07-2020-for-sale-in-lahore-5270083,Prince K07 2020 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"5,000 km",1175000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-gujranwala-5029756,Prince Pearl 2020 for sale in Gujranwala
Prince,2020,Petrol,Manual,800cc,"5,000 km",350000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-sialkot-5304274,Prince Pearl 2020 for sale in Sialkot
Prince,2021,Petrol,Manual,1000cc,50 km,1400000,https://www.pakwheels.com/used-cars/prince-k01-2021-for-sale-in-gujranwala-5342506,Prince K01 2021 for sale in Gujranwala
Prince,2020,Petrol,Manual,800cc,"8,200 km",1100000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-sialkot-5342308,Prince Pearl 2020 for sale in Sialkot
Prince,2021,Petrol,Manual,1000cc,1 km,1369000,https://www.pakwheels.com/used-cars/prince-k07-2021-for-sale-in-gujranwala-4854063,Prince K07 2021 for sale in Gujranwala
Prince,2020,Petrol,Manual,800cc,"9,000 km",1240000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-sambrial-5338833,Prince Pearl 2020 for sale in Sambrial
Prince,2020,Petrol,Manual,1000cc,"9,000 km",1395000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-kharian-5335765,Prince Pearl 2020 for sale in Kharian
Prince,2021,Petrol,Manual,800cc,"20,000 km",1150000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-5332091,Prince Pearl 2021 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"14,000 km",1050000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-kot-addu-5022686,Prince Pearl 2020 for sale in Kot addu
Prince,2021,Petrol,Manual,1000cc,"20,000 km",1290000,https://www.pakwheels.com/used-cars/prince-k07-2021-for-sale-in-faisalabad-5185326,Prince K07 2021 for sale in Faisalabad
Prince,2020,Petrol,Manual,800cc,"8,500 km",1150000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-sialkot-5329620,Prince Pearl 2020 for sale in Sialkot
Prince,2021,Petrol,Manual,800cc,"7,000 km",1000000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-5328348,Prince Pearl 2021 for sale in Lahore
Prince,2021,Petrol,Manual,800cc,800 km,1200000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-gujranwala-5327626,Prince Pearl 2021 for sale in Gujranwala
Prince,2021,Petrol,Manual,800cc,650 km,1215000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-sialkot-5327574,Prince Pearl 2021 for sale in Sialkot
Prince,2020,Petrol,Manual,800cc,"10,000 km",1070000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-islamabad-5327185,Prince Pearl 2020 for sale in Islamabad
Prince,2021,Petrol,Manual,800cc,"22,000 km",1050000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-4969460,Prince Pearl 2021 for sale in Lahore
Prince,2021,Petrol,Manual,1000cc,"6,000 km",1450000,https://www.pakwheels.com/used-cars/prince-k01-2021-for-sale-in-mandi-bahauddin-5325808,Prince K01 2021 for sale in Mandi bahauddin
Prince,2020,Petrol,Manual,8000cc,"21,000 km",900000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5324891,Prince Pearl 2020 for sale in Lahore
Prince,2020,Petrol,Automatic,1000cc,"53,000 km",1220000,https://www.pakwheels.com/used-cars/prince-k07-2020-for-sale-in-malakwal-5324671,Prince K07 2020 for sale in Malakwal
Prince,2018,Petrol,Manual,1000cc,"28,000 km",1200000,https://www.pakwheels.com/used-cars/prince-k07-2018-for-sale-in-chakwal-5323184,Prince K07 2018 for sale in Chakwal
Prince,2019,Petrol,Manual,1000cc,"15,000 km",1250000,https://www.pakwheels.com/used-cars/prince-k07-2019-for-sale-in-karachi-5323055,Prince K07 2019 for sale in Karachi
Prince,2017,Petrol,Manual,1000cc,"113,000 km",975000,https://www.pakwheels.com/used-cars/prince-k07-2017-for-sale-in-lahore-5322621,Prince K07 2017 for sale in Lahore
Prince,2019,Petrol,Manual,800cc,"15,000 km",1130000,https://www.pakwheels.com/used-cars/prince-pearl-2019-for-sale-in-karachi-5322483,Prince Pearl 2019 for sale in Karachi
Prince,2020,Petrol,Manual,800cc,"8,300 km",1050000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-khanewal-5322469,Prince Pearl 2020 for sale in Khanewal
Prince,2020,Petrol,Manual,800cc,"11,000 km",1085000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-peshawar-5322186,Prince Pearl 2020 for sale in Peshawar
Prince,2020,Petrol,Manual,800cc,"6,000 km",1050000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-mirpur-ak-4743689,Prince Pearl 2020 for sale in Mirpur A.K.
Prince,2020,Petrol,Manual,800cc,"30,000 km",1050000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5318337,Prince Pearl 2020 for sale in Lahore
Prince,2021,Petrol,Manual,800cc,480 km,1250000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-faisalabad-5316338,Prince Pearl 2021 for sale in Faisalabad
Prince,2021,Petrol,Manual,800cc,1 km,1111000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-islamabad-5313930,Prince Pearl 2021 for sale in Islamabad
Prince,2021,Petrol,Manual,800cc,"3,000 km",1100000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-5312670,Prince Pearl 2021 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"10,000 km",1003000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-rawalpindi-5311780,Prince Pearl 2020 for sale in Rawalpindi
Prince,2021,Petrol,Manual,800cc,11 km,1111000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-hyderabad-5311584,Prince Pearl 2021 for sale in Hyderabad
Prince,2020,Petrol,Manual,800cc,"14,000 km",1060000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-sambrial-5310031,Prince Pearl 2020 for sale in Sambrial
Prince,2021,Petrol,Manual,800cc,200 km,1230000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-sialkot-5309738,Prince Pearl 2021 for sale in Sialkot
Prince,2020,Petrol,Manual,800cc,"7,000 km",1150000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-toba-tek-singh-5309710,Prince Pearl 2020 for sale in Toba Tek Singh
Prince,2020,Petrol,Manual,800cc,"15,000 km",950000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-multan-5309612,Prince Pearl 2020 for sale in Multan
Prince,2021,Petrol,Manual,800cc,"1,100 km",1088000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-5308350,Prince Pearl 2021 for sale in Lahore
Prince,2021,Petrol,Manual,800cc,200 km,1150000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-jhang-5306773,Prince Pearl 2021 for sale in Jhang
Prince,2021,Petrol,Manual,800cc,"8,000 km",1150000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-depal-pur-5088461,Prince Pearl 2021 for sale in Depal pur
Prince,2020,Petrol,Manual,800cc,"16,000 km",1120000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5304826,Prince Pearl 2020 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"15,000 km",1125000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-rawalpindi-5304516,Prince Pearl 2020 for sale in Rawalpindi
Prince,2020,Petrol,Manual,800cc,"5,800 km",1150000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5304031,Prince Pearl 2020 for sale in Lahore
Prince,2021,Petrol,Manual,800cc,900 km,1120000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-5304001,Prince Pearl 2021 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"25,000 km",950000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-vehari-5301421,Prince Pearl 2020 for sale in Vehari
Prince,2017,Petrol,Manual,1000cc,"140,000 km",980000,https://www.pakwheels.com/used-cars/prince-k07-2017-for-sale-in-sargodha-5300521,Prince K07 2017 for sale in Sargodha
Prince,2017,Petrol,Manual,1000cc,"95,000 km",1250000,https://www.pakwheels.com/used-cars/prince-k07-2017-for-sale-in-toba-tek-singh-5299761,Prince K07 2017 for sale in Toba Tek Singh
Prince,2020,Petrol,Manual,800cc,"10,000 km",1150000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-rawalpindi-5298842,Prince Pearl 2020 for sale in Rawalpindi
Prince,2020,Petrol,Manual,800cc,"20,000 km",1050000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5298387,Prince Pearl 2020 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"6,000 km",1025000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-gujranwala-5297433,Prince Pearl 2020 for sale in Gujranwala
Prince,2021,Petrol,Manual,800cc,300 km,1200000,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-5296911,Prince Pearl 2021 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"13,000 km",1100000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5296001,Prince Pearl 2020 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"4,200 km",1130000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-lahore-5293477,Prince Pearl 2020 for sale in Lahore
Prince,2020,Petrol,Manual,800cc,"7,104 km",950000,https://www.pakwheels.com/used-cars/prince-pearl-2020-for-sale-in-sialkot-5291673,Prince Pearl 2020 for sale in Sialkot
