Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Proton,2007,Petrol,Manual,1300cc,"130,000 km",750000,https://www.pakwheels.com/used-cars/proton-saga-2007-for-sale-in-islamabad-5328950,Proton Saga 2007 for sale in Islamabad
Proton,2021,Petrol,Automatic,1300cc,1 km,2660000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-islamabad-5099218,Proton Saga 2021 for sale in Islamabad
Proton,2021,Petrol,Automatic,1500cc,54 km,5650000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-lahore-5207059,Proton X70 2021 for sale in Lahore
Proton,2021,Petrol,Automatic,1500cc,340 km,6350000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-islamabad-5284873,Proton X70 2021 for sale in Islamabad
Proton,2021,Petrol,Automatic,1300cc,"3,265 km",2700000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-karachi-5259730,Proton Saga 2021 for sale in Karachi
Proton,2021,Petrol,Automatic,1300cc,50 km,415000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-sialkot-5315352,Proton Saga 2021 for sale in Sialkot
Proton,2021,Petrol,Automatic,1500cc,200 km,6400000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-islamabad-5341406,Proton X70 2021 for sale in Islamabad
Proton,2021,Petrol,Automatic,1300cc,"8,000 km",2650000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-sargodha-5340996,Proton Saga 2021 for sale in Sargodha
Proton,2021,Petrol,Automatic,1500cc,"5,800 km",6400000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-islamabad-5338304,Proton Saga 2021 for sale in Islamabad
Proton,2021,Petrol,Automatic,1500cc,"5,800 km",6400000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-islamabad-5338312,Proton Saga 2021 for sale in Islamabad
Proton,2021,Petrol,Automatic,1500cc,200 km,6400000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-lahore-5237777,Proton X70 2021 for sale in Lahore
Proton,2021,Petrol,Automatic,1500cc,10 km,4890000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-lahore-5338376,Proton X70 2021 for sale in Lahore
Proton,2021,Petrol,Automatic,1300cc,1 km,2300000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-lahore-5335779,Proton Saga 2021 for sale in Lahore
Proton,2006,Petrol,Manual,1300cc,"129,000 km",620000,https://www.pakwheels.com/used-cars/proton-saga-2006-for-sale-in-sialkot-5330984,Proton Saga 2006 for sale in Sialkot
Proton,2021,Petrol,Manual,1300cc,"3,600 km",2250000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-karachi-5329873,Proton Saga 2021 for sale in Karachi
Proton,2021,Petrol,Automatic,1300cc,100 km,2700000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-lahore-5327344,Proton Saga 2021 for sale in Lahore
Proton,2021,Petrol,Manual,1300cc,800 km,2200000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-sialkot-5327161,Proton Saga 2021 for sale in Sialkot
Proton,2021,Petrol,Manual,1300cc,900 km,2098000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-multan-5326739,Proton Saga 2021 for sale in Multan
Proton,2021,Petrol,Manual,1300cc,84 km,2100000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-peshawar-5324515,Proton Saga 2021 for sale in Peshawar
Proton,2021,Petrol,Automatic,1500cc,"3,500 km",6000000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-karachi-5173020,Proton X70 2021 for sale in Karachi
Proton,2021,Petrol,Automatic,1500cc,100 km,6435000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-lahore-5312218,Proton X70 2021 for sale in Lahore
Proton,2021,Petrol,Automatic,1300cc,"1,000 km",2800000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-karachi-5311228,Proton Saga 2021 for sale in Karachi
Proton,2021,Petrol,Automatic,1500cc,17 km,5490000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-islamabad-5309769,Proton X70 2021 for sale in Islamabad
Proton,2021,Petrol,Automatic,1500cc,171 km,6300000,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-peshawar-5305618,Proton X70 2021 for sale in Peshawar
Proton,2021,Petrol,Automatic,1500cc,"3,750 km",6500000,https://www.pakwheels.com/used-cars/proton-gen-2-2021-for-sale-in-karachi-5303245,Proton Gen 2 2021 for sale in Karachi
Proton,2021,Petrol,Manual,1300cc,530 km,2150000,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-lahore-5302268,Proton Saga 2021 for sale in Lahore
