Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Subaru,2020,Petrol,Automatic,1000cc,"12,000 km",2680000,https://www.pakwheels.com/used-cars/subaru-justy-2020-for-sale-in-faisalabad-4562225,Subaru Justy 2020 for sale in Faisalabad
Subaru,2018,Petrol,Automatic,660cc,"1,500 km",2350000,https://www.pakwheels.com/used-cars/subaru-pleo-2018-for-sale-in-karachi-5317352,Subaru Pleo 2018 for sale in Karachi
Subaru,2012,Petrol,Automatic,2400cc,"80,000 km",2800000,https://www.pakwheels.com/used-cars/subaru-forester-2012-for-sale-in-islamabad-5337918,Subaru Forester 2012 for sale in Islamabad
Subaru,2018,Petrol,Automatic,660cc,"67,000 km",2000000,https://www.pakwheels.com/used-cars/subaru-stella-2018-for-sale-in-sialkot-5133307,Subaru Stella 2018 for sale in Sialkot
Subaru,2012,Petrol,Automatic,660cc,"85,000 km",1330000,https://www.pakwheels.com/used-cars/subaru-stella-2012-for-sale-in-lahore-5150073,Subaru Stella 2012 for sale in Lahore
Subaru,2017,Petrol,Automatic,660cc,"39,500 km",1950000,https://www.pakwheels.com/used-cars/subaru-stella-2017-for-sale-in-faisalabad-4589041,Subaru Stella 2017 for sale in Faisalabad
Subaru,2014,Petrol,Automatic,660cc,"80,000 km",1325000,https://www.pakwheels.com/used-cars/subaru-pleo-2014-for-sale-in-rawalpindi-5326884,Subaru Pleo 2014 for sale in Rawalpindi
Subaru,2017,Petrol,Automatic,660cc,"43,927 km",1850000,https://www.pakwheels.com/used-cars/subaru-pleo-2017-for-sale-in-islamabad-5073474,Subaru Pleo 2017 for sale in Islamabad
Subaru,2009,Petrol,Automatic,660cc,"140,000 km",1015000,https://www.pakwheels.com/used-cars/subaru-stella-2009-for-sale-in-islamabad-5302031,Subaru Stella 2009 for sale in Islamabad
Subaru,2013,Petrol,Automatic,660cc,"50,000 km",1350000,https://www.pakwheels.com/used-cars/subaru-pleo-2013-for-sale-in-gujranwala-5312306,Subaru Pleo 2013 for sale in Gujranwala
Subaru,2019,Petrol,Automatic,660cc,"28,000 km",1940000,https://www.pakwheels.com/used-cars/subaru-stella-2019-for-sale-in-karachi-5206875,Subaru Stella 2019 for sale in Karachi
Subaru,2009,Petrol,Automatic,660cc,"93,307 km",1200000,https://www.pakwheels.com/used-cars/subaru-stella-2009-for-sale-in-lahore-5239743,Subaru Stella 2009 for sale in Lahore
Subaru,2014,Petrol,Automatic,660cc,"124,000 km",1375000,https://www.pakwheels.com/used-cars/subaru-pleo-2014-for-sale-in-lahore-5340811,Subaru Pleo 2014 for sale in Lahore
Subaru,1985,CNG,Manual,1000cc,"112,234 km",220000,https://www.pakwheels.com/used-cars/subaru-justy-1985-for-sale-in-islamabad-5260209,Subaru Justy 1985 for sale in Islamabad
Subaru,1986,CNG,Manual,1000cc,"123,456 km",250000,https://www.pakwheels.com/used-cars/subaru-other-1986-for-sale-in-rawalpindi-5337185,Subaru Other 1986 for sale in Rawalpindi
Subaru,2017,Petrol,Automatic,660cc,"45,000 km",1700000,https://www.pakwheels.com/used-cars/subaru-pleo-2017-for-sale-in-islamabad-5025368,Subaru Pleo 2017 for sale in Islamabad
Subaru,2006,Petrol,Automatic,660cc,"140,000 km",785000,https://www.pakwheels.com/used-cars/subaru-r2-2006-for-sale-in-taxila-5333091,Subaru R2 2006 for sale in Taxila
Subaru,2019,Petrol,Manual,660cc,"120,000 km",940000,https://www.pakwheels.com/used-cars/subaru-sambar-2019-for-sale-in-gujrat-5332128,Subaru Sambar  2019 for sale in Gujrat
