Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Suzuki,2018,Petrol,Automatic,660cc,"24,007 km",1900000,https://www.pakwheels.com/used-cars/suzuki-alto-2018-for-sale-in-karachi-5288108,Suzuki Alto 2018 for sale in Karachi
Suzuki,2007,Petrol,Manual,1000cc,"120,000 km",765000,https://www.pakwheels.com/used-cars/suzuki-cultus-2007-for-sale-in-lahore-5288062,Suzuki Cultus 2007 for sale in Lahore
Suzuki,2014,Petrol,Automatic,660cc,"71,000 km",1525000,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-rawalpindi-5284192,Suzuki Alto 2014 for sale in Rawalpindi
Suzuki,2016,Petrol,Automatic,660cc,"149,000 km",1680000,https://www.pakwheels.com/used-cars/suzuki-every-2016-for-sale-in-rawalpindi-5284222,Suzuki Every 2016 for sale in Rawalpindi
Suzuki,2015,Petrol,Automatic,660cc,"18,000 km",1550000,https://www.pakwheels.com/used-cars/suzuki-every-2015-for-sale-in-rawalpindi-5284224,Suzuki Every 2015 for sale in Rawalpindi
Suzuki,2017,Petrol,Automatic,660cc,"95,000 km",1650000,https://www.pakwheels.com/used-cars/suzuki-every-2017-for-sale-in-karachi-5269155,Suzuki Every 2017 for sale in Karachi
Suzuki,2001,Petrol,Manual,800cc,"185,000 km",485000,https://www.pakwheels.com/used-cars/suzuki-bolan-2001-for-sale-in-wah-cantt-5287357,Suzuki Bolan 2001 for sale in Wah cantt
Suzuki,2016,Petrol,Manual,1000cc,"61,000 km",1295000,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-karachi-5151888,Suzuki Cultus 2016 for sale in Karachi
Suzuki,2017,Petrol,Manual,1000cc,"58,000 km",1530000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2017-for-sale-in-islamabad-5286389,Suzuki Wagon R 2017 for sale in Islamabad
Suzuki,2019,Petrol,Manual,1000cc,"78,621 km",1510000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2019-for-sale-in-karachi-5179280,Suzuki Wagon R 2019 for sale in Karachi
Suzuki,2014,Petrol,Manual,1300cc,"184,055 km",1400000,https://www.pakwheels.com/used-cars/suzuki-swift-2014-for-sale-in-islamabad-5281544,Suzuki Swift 2014 for sale in Islamabad
Suzuki,2010,Petrol,Manual,1300cc,"82,000 km",1470000,https://www.pakwheels.com/used-cars/suzuki-swift-2010-for-sale-in-rawalpindi-5334769,Suzuki Swift 2010 for sale in Rawalpindi
Suzuki,2017,Petrol,Manual,800cc,"44,000 km",890000,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-kot-addu-5335211,Suzuki Mehran 2017 for sale in Kot addu
Suzuki,2015,Petrol,Automatic,1000cc,"80,000 km",1750000,https://www.pakwheels.com/used-cars/suzuki-hustler-2015-for-sale-in-faisalabad-5335204,Suzuki Hustler 2015 for sale in Faisalabad
Suzuki,2013,Petrol,Manual,1000cc,"100,000 km",1110000,https://www.pakwheels.com/used-cars/suzuki-cultus-2013-for-sale-in-rawalpindi-5335201,Suzuki Cultus 2013 for sale in Rawalpindi
Suzuki,2019,Petrol,Automatic,1000cc,"25,000 km",1995000,https://www.pakwheels.com/used-cars/suzuki-cultus-2019-for-sale-in-sialkot-5335187,Suzuki Cultus 2019 for sale in Sialkot
Suzuki,2010,Petrol,Manual,1000cc,"76,500 km",1075000,https://www.pakwheels.com/used-cars/suzuki-cultus-2010-for-sale-in-lahore-5335183,Suzuki Cultus 2010 for sale in Lahore
Suzuki,2010,Petrol,Manual,1000cc,"76,000 km",1075000,https://www.pakwheels.com/used-cars/suzuki-cultus-2010-for-sale-in-lahore-5333244,Suzuki Cultus 2010 for sale in Lahore
Suzuki,2018,Petrol,Automatic,660cc,"36,000 km",1950000,https://www.pakwheels.com/used-cars/suzuki-alto-2018-for-sale-in-peshawar-5322561,Suzuki Alto 2018 for sale in Peshawar
Suzuki,1998,Petrol,Manual,1300cc,"100,000 km",490000,https://www.pakwheels.com/used-cars/suzuki-margalla-1998-for-sale-in-rawalpindi-5335181,Suzuki Margalla 1998 for sale in Rawalpindi
Suzuki,1989,CNG,Manual,800cc,"100,000 km",180000,https://www.pakwheels.com/used-cars/suzuki-mehran-1989-for-sale-in-karachi-5335176,Suzuki Mehran 1989 for sale in Karachi
Suzuki,2016,Petrol,Manual,1000cc,"110,000 km",1450000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2016-for-sale-in-wah-cantt-5335172,Suzuki Wagon R 2016 for sale in Wah cantt
