Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
Toyota,2017,Petrol,Automatic,4600cc,"33,000 km",36500000,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2017-for-sale-in-islamabad-5328078,Toyota Land Cruiser 2017 for sale in Islamabad
Toyota,2018,Petrol,Automatic,1500cc,"25,000 km",5800000,https://www.pakwheels.com/used-cars/toyota-premio-2018-for-sale-in-islamabad-4983181,Toyota Premio 2018 for sale in Islamabad
Toyota,2019,Petrol,Automatic,1300cc,"43,000 km",3300000,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-peshawar-5152849,Toyota Corolla 2019 for sale in Peshawar
Toyota,2021,Hybrid,Automatic,1800cc,30 km,8450000,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2021-for-sale-in-sialkot-5085959,Toyota Corolla Cross 2021 for sale in Sialkot
Toyota,2017,Hybrid,Automatic,1800cc,"100,000 km",5700000,https://www.pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-peshawar-5308122,Toyota C-HR 2017 for sale in Peshawar
Toyota,2019,Petrol,Automatic,1300cc,"50,000 km",2890000,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-4708501,Toyota Corolla 2019 for sale in Lahore
Toyota,2018,Petrol,Automatic,1800cc,"50,000 km",7900000,https://www.pakwheels.com/used-cars/toyota-premio-2018-for-sale-in-peshawar-5301144,Toyota Premio 2018 for sale in Peshawar
Toyota,2020,Petrol,Manual,1300cc,"8,100 km",3020000,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-gujranwala-4972298,Toyota Corolla 2020 for sale in Gujranwala
Toyota,2010,Petrol,Automatic,2700cc,"81,000 km",11400000,https://www.pakwheels.com/used-cars/toyota-prado-2010-for-sale-in-lahore-5260096,Toyota Prado 2010 for sale in Lahore
Toyota,2021,Diesel,Automatic,2800cc,"7,000 km",10350000,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-lahore-5312248,Toyota Fortuner 2021 for sale in Lahore
