Make,Model_Year,Fuel_Type,Transmission,Engine_Capacity,Kms_Driven,Price,Url,Description
United,2021,Petrol,Manual,1000cc,1 km,1259000,https://www.pakwheels.com/used-cars/united-alpha-2021-for-sale-in-lahore-5339340,United Alpha 2021 for sale in Lahore
United,2021,Petrol,Manual,800cc,1 km,1030000,https://www.pakwheels.com/used-cars/united-bravo-2021-for-sale-in-lahore-5339327,United Bravo 2021 for sale in Lahore
United,2021,Petrol,Manual,1000cc,"1,910 km",1340000,https://www.pakwheels.com/used-cars/united-alpha-2021-for-sale-in-lahore-5206771,United Alpha 2021 for sale in Lahore
United,2019,Petrol,Manual,800cc,"63,000 km",820000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-5293236,United Bravo 2019 for sale in Lahore
United,2021,Petrol,Manual,800cc,"12,688 km",1030000,https://www.pakwheels.com/used-cars/united-bravo-2021-for-sale-in-lahore-5308528,United Bravo 2021 for sale in Lahore
United,2019,Petrol,Manual,800cc,"45,004 km",825000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-islamabad-5179969,United Bravo 2019 for sale in Islamabad
United,2019,Petrol,Manual,800cc,"32,732 km",820000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-4981427,United Bravo 2019 for sale in Lahore
United,2019,Petrol,Manual,800cc,"4,550 km",850000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-5122603,United Bravo 2019 for sale in Lahore
United,2021,Petrol,Manual,1000cc,"5,000 km",1370000,https://www.pakwheels.com/used-cars/united-alpha-2021-for-sale-in-lahore-5213737,United Alpha 2021 for sale in Lahore
United,2020,Petrol,Manual,800cc,1 km,1080000,https://www.pakwheels.com/used-cars/united-bravo-2020-for-sale-in-karachi-4439521,United Bravo 2020 for sale in Karachi
United,2021,Petrol,Manual,1000cc,10 km,1249000,https://www.pakwheels.com/used-cars/united-alpha-2021-for-sale-in-lahore-5025572,United Alpha 2021 for sale in Lahore
United,2019,Petrol,Manual,800cc,"15,000 km",660000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-dera-ismail-khan-5340861,United Bravo 2019 for sale in Dera ismail khan
United,2019,Petrol,Manual,800cc,"25,000 km",890000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-5338759,United Bravo 2019 for sale in Lahore
United,2019,Petrol,Manual,800cc,20 km,850000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-5335679,United Bravo 2019 for sale in Lahore
United,2020,Petrol,Manual,800cc,"6,670 km",960000,https://www.pakwheels.com/used-cars/united-bravo-2020-for-sale-in-haripur-5330916,United Bravo 2020 for sale in Haripur
United,2019,Petrol,Manual,800cc,"26,000 km",870000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-rawalpindi-5329330,United Bravo 2019 for sale in Rawalpindi
United,2021,Petrol,Manual,800cc,"6,000 km",950000,https://www.pakwheels.com/used-cars/united-bravo-2021-for-sale-in-lahore-5329131,United Bravo 2021 for sale in Lahore
United,2019,Petrol,Manual,800cc,"57,700 km",850000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-multan-5328405,United Bravo 2019 for sale in Multan
United,2019,Petrol,Manual,800cc,"30,000 km",810000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-rawalpindi-5320674,United Bravo 2019 for sale in Rawalpindi
United,2019,Petrol,Manual,800cc,"17,500 km",855000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-peshawar-5314619,United Bravo 2019 for sale in Peshawar
United,2019,Petrol,Manual,800cc,"30,000 km",825000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-rawalpindi-5313150,United Bravo 2019 for sale in Rawalpindi
United,2019,Petrol,Manual,800cc,"63,000 km",780000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-haripur-5310604,United Bravo 2019 for sale in Haripur
United,2019,Petrol,Manual,800cc,"23,500 km",835000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-5310272,United Bravo 2019 for sale in Lahore
United,2019,Petrol,Manual,800cc,"28,000 km",925000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-5309199,United Bravo 2019 for sale in Lahore
United,2019,Petrol,Manual,800cc,"78,000 km",760000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-islamabad-5308388,United Bravo 2019 for sale in Islamabad
United,2019,Petrol,Manual,800cc,"12,000 km",850000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-sahiwal-4667252,United Bravo 2019 for sale in Sahiwal
United,2019,Petrol,Manual,800cc,"49,000 km",775000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-islamabad-5306461,United Bravo 2019 for sale in Islamabad
United,2021,Petrol,Manual,1000cc,10 km,1259000,https://www.pakwheels.com/used-cars/united-alpha-2021-for-sale-in-lahore-5304401,United Alpha 2021 for sale in Lahore
United,2021,Petrol,Manual,1000cc,"2,000 km",1599000,https://www.pakwheels.com/used-cars/united-alpha-2021-for-sale-in-lahore-5301502,United Alpha 2021 for sale in Lahore
United,2019,Petrol,Manual,800cc,"29,000 km",905000,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-islamabad-5299454,United Bravo 2019 for sale in Islamabad
United,2020,Petrol,Manual,800cc,"29,000 km",900000,https://www.pakwheels.com/used-cars/united-bravo-2020-for-sale-in-lahore-5298855,United Bravo 2020 for sale in Lahore
